well	gene	sirna	image_idx	object_idx	is_infected	cells_areashape_area	cells_areashape_eccentricity	cells_areashape_extent	cells_areashape_formfactor	cells_areashape_majoraxislength	cells_areashape_minoraxislength	cells_areashape_orientation	cells_areashape_perimeter	cells_children_bacteria_count	cells_children_invasomes_count	cells_location_center_x	cells_location_center_y	cells_neighbors_anglebetweenneighbors_2	cells_neighbors_firstclosestobjectnumber_2	cells_neighbors_firstclosestxvector_2	cells_neighbors_firstclosestyvector_2	cells_neighbors_numberofneighbors_2	cells_neighbors_percenttouching_2	cells_neighbors_secondclosestobjectnumber_2	cells_neighbors_secondclosestxvector_2	cells_neighbors_secondclosestyvector_2	cells_parent_nuclei	nuclei_areashape_area	nuclei_areashape_eccentricity	nuclei_areashape_extent	nuclei_areashape_formfactor	nuclei_areashape_majoraxislength	nuclei_areashape_minoraxislength	nuclei_areashape_orientation	nuclei_areashape_perimeter	nuclei_children_cells_count	nuclei_children_perinuclei_count	nuclei_location_center_x	nuclei_location_center_y	perinuclei_areashape_area	perinuclei_areashape_eccentricity	perinuclei_areashape_formfactor	perinuclei_areashape_majoraxislength	perinuclei_areashape_minoraxislength	perinuclei_areashape_orientation	perinuclei_areashape_perimeter	perinuclei_location_center_x	perinuclei_location_center_y	perinuclei_parent_expandednuclei	perinuclei_parent_nuclei	prediction	f_0	f_1	f_2	f_3	f_4	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49
a02	abl2	none	10	174	1	-0.5907015999999999	1.0876392	-0.4247014	-0.6481953	0.1861592	-0.9296607	0.11891723	-0.27809337	0	2	1.5565155000000002	-1.6156176000000002	-2.1661997000000004	1.1673200000000001	-0.5121892	1.0130302	-1.0195191	0.31864566	0.9708629000000001	-1.9200639	1.8904307	1.34745352163455	-0.7226657	1.2648101	0.97832423	-0.13172378	0.13899714	-1.3947643	-0.04680051	-0.5794414000000001	1	1	1.5990102	-1.6329403	-0.079009436	0.6250805	1.2586608999999997	-0.31296507	-0.64347154	-0.07564849	-0.54880375	1.5983735000000001	-1.6344676	1.3474535	1.3474535	33	1.9260252714157104	2.8782284259796143	1.4238113164901731	2.40432357788086	2.5198936462402344	3.791293048394422e-05	2.1212084992826766e-11	1.1987085529765628e-07	1.1580044289091221e-11	0.0017786788418993609	0.019649104840451584	1.1580044289091221e-11	0.0002702710954966877	5.543283742712922e-05	1.1580044289091221e-11	1.1580044289932199e-11	1.1765986345416158e-11	2.417829483816179e-09	1.6202887811161808e-05	1.1580044289091221e-11	1.158004441859242e-11	9.23591848305564e-11	1.1580044289091221e-11	1.1580044289091221e-11	1.1580044289091239e-11	1.1580044289091221e-11	8.482524027743024e-07	1.1580044289091221e-11	1.1580044289091221e-11	1.0449426645397199e-07	1.1580044289091368e-11	0.4537167746539443	2.6228716667287275e-07	1.1580044289091221e-11	1.1580044289091221e-11	1.1580044289091221e-11	1.1580044289091221e-11	1.1580044289091221e-11	0.4671435053760456	1.1580044804083885e-11	0.008796921694929905	1.1580044326438705e-11	0.00095801588310576	6.359007760057983e-05	3.9474348829250385e-06	1.1602112331089196e-11	1.1580044289091221e-11	1.2260582052046086e-11	1.1580096539737805e-11	8.14017501523625e-08	1.4404921474365544e-11	0.03564162598677592	7.15808633476962e-09	0.011866211240169141	3.7791825344786957e-07
a02	abl2	none	10	140	1	0.11932998	1.0146008	-1.4390287	-1.1304758	1.3394066999999998	0.06898868	0.040768687000000005	0.6578029000000001	0	2	1.1642412	-1.4650344	0.12131542	0.76820314	-0.45250216	-1.100767	0.7140681999999999	0.2770802	0.6708928000000001	-0.7282022	0.87672716	0.7838436033585909	-0.35512283	0.5206518	0.62532175	0.42718872	-0.15485086	-0.45474136	0.44067	-0.42580944	1	1	1.1438562	-1.4215381999999999	-0.5198891	-0.37492597	0.41024593	-0.6711748000000001	-0.12325522	0.11845084	-0.5914581999999999	1.1505798999999999	-1.4302027	0.7838436	0.7838436	33	0.14597748219966888	2.263735055923462	0.1970037668943405	1.5616486072540283	2.9578304290771484	6.862840081615534e-05	1.757232973036131e-06	1.7867084842533476e-09	4.907415478937569e-12	0.36911338745861255	0.006731700756906802	4.907415478937569e-12	5.578187548735283e-08	0.0014139298240609698	4.907415478937569e-12	4.907452537782832e-12	4.9074277141868565e-12	9.482996326837474e-12	0.001321185461714815	4.907415478937569e-12	2.1073620212945077e-08	5.71464042199226e-08	4.907415478937569e-12	4.907415491963785e-12	4.907415478937569e-12	4.907415616356442e-12	0.0005584757724291129	4.907415478937569e-12	4.907415478937569e-12	9.069630775626086e-08	4.9074161071412856e-12	5.22357090618212e-09	5.234313159489112e-12	4.907415478937569e-12	4.907415478937847e-12	4.907415478944384e-12	4.907415478937569e-12	4.907415478937569e-12	0.3918976528673733	4.907419423979741e-12	0.1420534172104176	4.913212854659533e-12	1.566442637228815e-05	0.00019739896084331222	5.148470503727869e-12	4.9773594450844e-12	4.907415478937569e-12	4.907415479118244e-12	9.999043445306124e-09	0.0007054365622641517	7.5044870660254866e-06	0.0694895638736131	1.3645435060643142e-07	0.015776087765243328	0.0006478306446001409
a05	none	si00408485	40	120	1	0.14196867	0.7592529	-0.6683686	-0.82449585	0.42532063	-0.15467808	1.0307616	0.46189025	0	2	0.6696151	-1.1964153999999998	-1.2129011	0.5021252	0.26350626	1.1445305000000001	2.4476554	-0.30946836	0.63756275	1.1426865	0.35009578	0.452308357313911	2.000493	1.250046	-1.6704978	-1.0102091	2.7786262	0.5705157	1.0372909	1.9360721999999997	1	1	0.68342054	-1.1976383	2.000041	1.0008873	-1.1901395000000001	2.4572897	0.9574983	1.0106157	2.1703923	0.6830056999999999	-1.2019886999999998	0.45230836	0.45230836	33	-5.882182121276856	3.869020938873291	3.118425130844116	2.4204413890838623	-0.9470658302307128	0.0005419034182801571	1.1751236721912037e-10	1.1751236776996328e-10	1.1751236728798424e-10	7.257494859608326e-08	9.531335974204842e-05	1.1751236721912037e-10	0.12422931764400298	1.4493249672013403e-07	1.1751236721912037e-10	1.1758899544551082e-10	1.1751236721912037e-10	1.2790631913740486e-10	8.886903096560309e-07	1.1751236721912037e-10	1.1751242182467062e-10	0.0004120628114149678	1.1751236721912037e-10	1.1751242538320136e-10	1.7873241117246759e-10	1.4151793178685445e-09	0.13746900936774453	1.1751236721912037e-10	1.1751236721912037e-10	1.1751236721912037e-10	2.652337350964374e-08	1.1751237627720572e-10	1.1751236721912037e-10	1.1751236721912037e-10	0.015479963324840881	1.1751236721912037e-10	1.197410913985479e-10	1.1751236721912037e-10	0.6288902997896526	1.3500430692478657e-08	1.1752627377068934e-10	1.1751236721915506e-10	6.479302453808466e-06	0.09287437339583314	1.1751236721912037e-10	8.031231943119698e-08	1.1751236721912037e-10	1.1751249593685208e-10	1.1751493425493438e-10	1.1751236721914206e-10	1.1751236721924522e-10	4.4188489560592754e-08	1.1751236721913293e-10	1.6139616161992472e-09	1.1770635325486831e-10
a06	none	si00577689	54	93	1	-0.4992648	0.84311754	-1.1628033000000002	-0.5502143	0.07481057	-0.58763504	0.78195924	-0.2346172	0	2	0.79018086	-1.6031016000000002	1.1732489	-0.046660464000000006	-0.661274	-0.6043644	-0.44165668	0.60847867	0.020957455	0.7664005	0.37247020000000003	0.00473577515359296	-0.5823311999999999	1.3487649	-1.7604883999999998	-0.465492	0.46806440000000005	-1.3428421999999998	1.0896059	-0.33666602	1	1	0.77432895	-1.583323	-0.13952234	1.3097328000000001	0.17105743	0.3999413	-1.0018144	1.0704118999999999	-0.18289012	0.7722156	-1.5854197	0.0047357753	0.0047357753	33	0.14872804284095764	0.7654868960380554	3.082533836364746	2.445373773574829	1.0278793573379517	2.6836236932660978e-11	8.600809723690458e-12	1.189548220474104e-09	7.82974439267792e-12	0.008908026156864928	0.002601123755845573	7.82974439267792e-12	0.0011568588343365725	3.1343178513986784e-06	7.82974439267792e-12	7.949058877827275e-12	2.673203707474e-11	2.1296841028678805e-07	0.004814531237137407	7.82974439267792e-12	7.829744392711067e-12	0.0010500904846602811	7.82974439267792e-12	7.829744430723646e-12	7.829744413868432e-12	8.460490900589088e-12	4.644374554988495e-05	7.82974439267792e-12	7.82974439267792e-12	1.3326348251876073e-10	1.7721886320711656e-08	0.002619782082375135	2.059678956478166e-06	7.829744392677926e-12	7.829744460963376e-12	7.829764771654833e-12	7.829744704319301e-12	7.829744392722693e-12	0.972683472490956	6.717035136246828e-06	0.0005097271673090216	7.833169905647257e-12	0.00027586259493594245	1.4422027635891346e-06	7.829967027463011e-12	0.00013035671231472406	7.82974439267792e-12	2.7905762357466806e-10	7.829744392678143e-12	0.000617394234773074	1.7491863635302238e-09	0.0027406450173373753	1.9292208062200015e-09	0.0018320956877862086	3.6518944288623824e-10
a05	none	si00408485	45	211	1	-0.8441373	0.2755051	-0.37311158	0.27360186	-0.68830514	-0.6667687	1.5420898	-0.83482844	0	1	0.8642421999999998	-1.6232958	-0.008063808	2.2648914	0.6446478	0.23897510000000002	0.13620575	0.7135189000000001	1.8707734	-0.42396668	0.46375853	1.96079372681721	-0.8128808000000001	0.69889444	-0.061778585999999996	-0.5565011	-0.44223914	-0.95548254	1.5741409	-0.527406	1	1	0.8516488000000001	-1.5739136999999999	-1.0947617	1.0784708	-0.23627175	-0.407539	-1.2310958	-1.6302958	-0.8525014000000001	0.85942155	-1.5803201	1.9607936999999998	1.9607936999999998	33	2.9545323848724365	3.15812087059021	1.6665453910827637	2.8148813247680664	0.4506868422031402	0.00022304598164560343	7.259087201826113e-12	0.0012950909582516278	7.2590871834950406e-12	3.7421790891204856e-06	0.038859636274486006	7.2590871834950406e-12	0.016065451990847544	1.0017920967751053e-07	7.2590871834950406e-12	7.259088821446629e-12	1.1523713074370954e-08	0.0001442360341234025	7.110180788456225e-05	7.2590871834950406e-12	7.259106030482512e-12	9.193099842039847e-09	7.2590871834950406e-12	7.2590871834950406e-12	7.259087962449374e-12	7.2590871834950406e-12	2.073265261722401e-08	7.2590871834950406e-12	7.2590871834950406e-12	5.6675631594465876e-06	7.259087184037442e-12	0.3019891434883232	0.0006386512533242647	7.2590871834950406e-12	7.2590871834950406e-12	7.2590871834950406e-12	1.4874939807273716e-05	7.2590871834950406e-12	0.3729088228512472	7.265785186795777e-12	0.0024977937539607843	7.259087190667558e-12	0.0006497090330743117	7.168116763092598e-05	3.6404680875402094e-11	5.2484790398671074e-08	7.2590871834950406e-12	8.07604585173902e-05	7.259087206590666e-12	8.987459873162697e-12	7.259099810220067e-12	0.2612326488148458	7.992179278967103e-07	0.003246947894844305	1.1185895513100552e-11
a10	none	si00580125	88	130	0	-0.12528545	0.17858195	-0.7396666000000001	-0.8290648000000002	-0.04900094	0.1171106	-1.0243640999999999	0.24270648	0	0	0.89433104	-1.4580138999999999	1.1330105	0.5520148	-0.90315545	0.9374429	0.13620575	0.27187437	0.77088284	1.122176	-0.5948992	0.618075980336251	0.29308920000000005	1.3159455	-1.5803757999999999	-0.31556	1.2949214	-0.6839688	-0.9135421999999999	0.35794836	1	1	0.89834744	-1.4586674	0.5952772	1.2633156	-0.20134571	1.2809837	-0.33503821	-0.90732604	0.56274676	0.90010875	-1.4594833999999999	0.61807597	0.61807597	33	-1.6946686506271362	2.6252479553222656	2.716635465621948	2.2907497882843018	0.5156534910202026	2.351982858220997e-05	5.89727414787255e-12	3.0874506912164183e-10	5.89727414787255e-12	0.0002401392444179022	0.0045261342817036	5.89727414787255e-12	0.00930910932659876	1.3730273470589263e-05	5.89727414787255e-12	5.929646049863124e-12	5.897274147872866e-12	2.860665522671325e-08	0.0003939294704242169	5.89727414787255e-12	5.897280795420454e-12	0.016893634089330378	5.89727414787255e-12	5.8972741490167896e-12	5.898186151169592e-12	7.881294579239719e-05	0.009237695605809771	5.89727414787255e-12	5.89727414787255e-12	4.616220905369203e-11	1.1831281937093363e-11	8.403003974939983e-10	5.994793806263024e-12	5.89727414787255e-12	5.9211504075228085e-12	5.8972741478728925e-12	7.168637238359214e-11	5.89727414787255e-12	0.9523130649757536	1.904996621672767e-09	2.391225084026973e-05	5.897276452218781e-12	0.0020801602015042032	0.0013446760556148024	5.897274362935647e-12	2.928512135609267e-05	5.89727414787255e-12	1.7412954012358764e-11	5.897274333818256e-12	4.097472322420548e-10	5.910201866242503e-12	0.003329496393173952	9.500943747510794e-10	0.0001626663503554831	2.8183515086433135e-10
a01	ptk2	none	2	76	1	-0.2981627	-0.13294797	0.44896358	-0.042790182	-0.46220258	-0.08579888	-0.86889946	-0.26678807	0	3	0.32841673	-1.2751278999999998	1.2560653999999998	-0.22958902	0.87951803	-0.21442562	-1.5973815	-0.9078700000000001	-0.41233277	-1.2929515	0.6597211	-0.277069183984385	-0.9699219000000001	-0.3220595	-1.2557614	-1.9580616999999998	-0.7186808000000001	-0.19990084	-1.3594422	-0.13003436	1	1	0.3677244	-1.2984691000000002	-1.0385711	0.7507169	-1.7407560000000002	-0.4113602	-0.8540419	-1.2843235	-0.09681149	0.3619549	-1.2955495000000001	-0.27706918	-0.27706918	33	0.34354168176651	-0.3848290741443634	2.10056471824646	2.1971046924591064	0.3719784021377564	4.9322231950336795e-12	4.4765596079619116e-09	2.460984354264769e-06	4.923711409049174e-12	0.11253590163010088	0.004960656093961052	4.923711409046083e-12	0.0015139333451842751	3.328859939887768e-09	4.923711409046083e-12	1.6998808824757971e-10	4.0654581274175787e-07	0.00019118039135169185	0.26348579939909955	4.923711409046083e-12	7.59016973286385e-12	0.006762220584668589	4.923711409046083e-12	5.328083042213263e-12	4.923962099882384e-12	1.3277101490703949e-06	0.00011349267947871169	4.923711409046083e-12	4.923711409046083e-12	2.79779235291884e-11	0.0008049155609564355	4.923868304478818e-12	7.936595048646355e-05	4.950393501093091e-12	4.923712993490418e-12	1.2678522516560138e-07	7.483364863258523e-12	5.151655996791504e-12	0.5498265011990949	0.013715084663742572	0.00018182535115958157	7.972667884977985e-11	0.008929851572279858	1.3902223615493716e-05	2.854886727118736e-11	0.010240641028282238	4.9237114203451165e-12	4.4695442481139146e-07	4.923722784902296e-12	0.022698712880303208	1.930623274505993e-05	0.00177032970568365	4.1379638623336587e-07	0.002151133044675645	5.548059582868316e-08
a11	loc388499	si00515081	95	136	0	-0.9396902	0.97579634	-1.0206964	-0.24089438	-0.5401545	-1.2757308	-0.5570495	-0.78861636	0	0	0.92155176	-1.3523242	-0.1513132	0.76820314	0.36334429999999995	1.0992056000000001	0.13620575	0.50115	0.8375429	0.81941974	-0.5691706	0.7175365541496551	-1.1102564	0.19932038	0.33835998	0.10558295	-1.0485959999999999	-1.0082356	-0.73773694	-1.0278002	1	1	0.9388664000000001	-1.3194867000000001	-1.5269966999999998	0.8309552	-0.30515245	-0.9938624	-1.3869971	-0.31350900000000004	-1.2506088	0.93673384	-1.3362163	0.71753657	0.71753657	33	3.351162433624268	0.9112560749053956	1.1341321468353271	2.0287680625915527	1.254586935043335	1.0556971952605357e-07	5.451721303237652e-12	0.001135718313694761	5.4144671683642425e-12	0.08930235900176467	0.07830087824457233	5.4144671683642425e-12	0.009131346060284208	4.3140394062660965e-05	5.4144671683642425e-12	6.945231097509117e-12	0.008602236229052714	9.153356473945544e-05	0.029815574760057605	5.4144671683642425e-12	1.4863867283092232e-11	9.051022839243836e-08	5.4144671683642425e-12	5.414467169702353e-12	5.414498156628247e-12	5.4144671683642425e-12	9.712743155516076e-09	5.4144671683642425e-12	5.4144671683642425e-12	0.0004037823533709245	8.984711232389984e-12	5.421063836649055e-12	0.008907592736798753	5.4144671683642425e-12	5.4144671683642425e-12	5.418930334744602e-12	5.414472172504852e-12	5.4144671683642425e-12	0.5100751914549856	1.0205500690448605e-08	0.05275417213883772	1.0078240042748396e-11	0.039374170095413316	0.00014893835467572525	9.72282459128367e-07	2.7547889879745176e-06	5.4144671683642425e-12	9.16463626858976e-06	5.414773458850009e-12	0.0017848695168883255	4.464755090100688e-06	0.1220059638667489	7.912679451879487e-07	0.04810074275270152	3.426288612586465e-06
b02	abl2	none	233	129	0	-0.7397640999999999	0.5815452	-0.3949849	-0.8365178	-0.5309524999999999	-0.7940379	-0.067303285	-0.34516442	0	0	1.2401298	-1.443921	0.12635404	0.6684239000000001	-0.0016445110999999998	1.0464683000000001	0.7140681999999999	-0.14481573	0.7375528	0.82374173	-0.44465673	0.6014992180340171	-0.29832074	0.43421894	-1.7365099	-2.128409	0.29638369999999997	0.10014225	0.23317583	0.6977499	1	1	1.2443062	-1.4538311000000002	0.2797456	-0.33248907	-0.29316917	-0.43103729999999996	0.0738437	-0.09712556	0.36052305	1.2456452	-1.448076	0.6014991999999999	0.6014991999999999	33	-0.4620886147022247	2.64961576461792	1.955987930297852	2.4458045959472656	0.3757974803447723	4.34003187875884e-05	3.451963036003729e-12	5.231584858401829e-07	3.4519630356091018e-12	0.00014805918410083153	0.053129051826003484	3.4519630356091018e-12	0.01850816869832426	1.842447322192649e-06	3.4519630356091018e-12	3.4551544826793413e-12	3.451963190687413e-12	1.0737530600396581e-05	0.001454396612393967	3.4519630356091018e-12	3.665672310782223e-12	0.0013836443148476847	3.4519630356091018e-12	3.4519630356407883e-12	3.4540968561877284e-12	6.178898354468358e-07	0.0012036908227122947	3.4519630356091018e-12	3.4519630356091018e-12	4.222843945209142e-08	3.596360558163323e-12	9.29362989774292e-07	5.998128726993982e-10	3.4519630356091018e-12	3.4519631079976143e-12	3.4519630356100845e-12	2.1553861755944953e-07	3.4519630356091018e-12	0.8812151610419746	6.971104047370468e-10	0.0005123123633982851	3.4519666191966744e-12	0.006934737893153393	0.0017329023349035302	3.6905055003335766e-10	1.7478035676145375e-05	3.4519630356091018e-12	1.27625883508952e-06	3.4523282030969087e-12	3.1104809914804154e-10	3.4809009571373243e-12	0.033094276553465266	3.547390044809873e-07	0.0006061731461858588	5.646584671819372e-09
a06	none	si00577689	53	169	1	-0.9064671999999999	-1.0165182	0.037267062999999996	-1.8021501	-1.0390072	-0.33992916	-1.2719877	0.07413395	0	3	0.91905993	-1.3895918999999999	0.27102506	1.1340603	-0.8762303	0.81592226	-0.44165668	-0.64557916	1.2041731000000002	-0.18189149999999998	-1.1732115	1.26456971012338	-1.451069	0.73050326	0.43388593	-0.14570576	-1.1438776000000002	-1.6348200000000002	-1.6928296999999999	-1.3291518999999998	1	1	0.9050553	-1.3825204	-0.6927831	0.13431947	2.0689262999999998	-1.332881	-1.0766714	1.730977	-1.2756491	0.9040398999999999	-1.3835683	1.2645698	1.2645698	33	3.4824321269989014	1.4763435125350952	-0.05248849466443062	1.4673237800598145	2.804403066635132	2.3720051562335666e-05	1.1134423491207576e-11	6.869986314594509e-06	1.0919313208293737e-11	0.2526548492802386	0.2658157418866935	1.0919313208293737e-11	1.5109679146060926e-05	0.00494811629718657	1.0919313208293737e-11	1.0941685915151993e-11	0.0003763125696221775	1.4278932694854774e-07	0.011476107507169892	1.0919313208293737e-11	9.510790970277586e-10	1.004775852681405e-10	1.0919313208293737e-11	1.0919313208430572e-11	1.0919313208304193e-11	1.0919313208293737e-11	1.598637883297205e-08	1.0919313208293737e-11	1.0919313208293737e-11	2.897126339020659e-09	1.091931492508868e-11	1.0919334575469217e-11	1.843034719625191e-05	1.0919313208293737e-11	1.0919313208293737e-11	1.0919313212665082e-11	1.0919313208293737e-11	1.0919313208293737e-11	0.3033781284106796	1.0919880207540302e-11	0.08290922187096737	1.2360198926364602e-11	0.000428789021833711	0.00017458208271131268	0.0021624217930525467	1.1046896755051964e-11	1.0919313208293737e-11	1.2503222401875176e-11	2.1024371800729088e-10	0.0222169888336176	0.000669866296399811	0.03454057375501901	6.637961671896601e-11	0.014790767145323697	0.0033932399187995128
