well	gene	sirna	image_idx	object_idx	is_infected	cells_areashape_area	cells_areashape_eccentricity	cells_areashape_extent	cells_areashape_formfactor	cells_areashape_majoraxislength	cells_areashape_minoraxislength	cells_areashape_orientation	cells_areashape_perimeter	cells_children_bacteria_count	cells_children_invasomes_count	cells_location_center_x	cells_location_center_y	cells_neighbors_anglebetweenneighbors_2	cells_neighbors_firstclosestobjectnumber_2	cells_neighbors_firstclosestxvector_2	cells_neighbors_firstclosestyvector_2	cells_neighbors_numberofneighbors_2	cells_neighbors_percenttouching_2	cells_neighbors_secondclosestobjectnumber_2	cells_neighbors_secondclosestxvector_2	cells_neighbors_secondclosestyvector_2	cells_parent_nuclei	nuclei_areashape_area	nuclei_areashape_eccentricity	nuclei_areashape_extent	nuclei_areashape_formfactor	nuclei_areashape_majoraxislength	nuclei_areashape_minoraxislength	nuclei_areashape_orientation	nuclei_areashape_perimeter	nuclei_children_cells_count	nuclei_children_perinuclei_count	nuclei_location_center_x	nuclei_location_center_y	perinuclei_areashape_area	perinuclei_areashape_eccentricity	perinuclei_areashape_formfactor	perinuclei_areashape_majoraxislength	perinuclei_areashape_minoraxislength	perinuclei_areashape_orientation	perinuclei_areashape_perimeter	perinuclei_location_center_x	perinuclei_location_center_y	perinuclei_parent_expandednuclei	perinuclei_parent_nuclei	prediction	f_0	f_1	f_2	f_3	f_4	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49
b05	none	si00584073	257	175	0	-0.9196976	-0.31480995	-0.61555785	-0.49825233	-0.96535873	-0.58250695	-1.2555709	-0.6820937	0	0	1.613592	-0.13887809	-0.6591496	1.1673200000000001	-1.3534917	-0.200664	-1.0195191	0.7135189000000001	1.2874981	-0.29324234	1.1484691	1.3640302839367802	-1.5579906000000001	0.9478655	-1.1473016000000003	-2.5970871	-0.8896013	-1.6775612000000002	-1.6080061	-0.59365565	1	1	1.6473521	-0.13922416	-1.7042130000000002	1.5762053	-0.9838551999999999	-0.9524811	-2.2646248	-1.6532950000000002	-1.1723187	1.6359191000000002	-0.14299655	1.3640302	1.3640302	44	4.058112621307373	2.3556900024414062	3.9066784381866455	0.2985477745532989	0.5151075124740601	0.0004078902452762731	2.1657077478508906e-11	1.2563447147923391e-06	2.1657077478466765e-11	5.567051021934391e-08	2.165707777429356e-11	2.5196306393367085e-11	0.13204779161061084	6.307265002848073e-05	2.1657077478466765e-11	0.0011358423830139654	0.0086018966170763	2.876824624658156e-05	0.0005022508313171473	2.1657077478466765e-11	2.1657077478466775e-11	7.510506687033771e-06	2.1657077478466765e-11	2.165707747846681e-11	3.2420935713727377e-07	2.1657077478466765e-11	2.253425821830309e-11	2.1657077478466765e-11	2.1657080473376385e-11	2.2883655144400825e-11	2.1667944880588715e-11	2.1657077478466765e-11	0.1266260126558598	2.1657077478466765e-11	2.1657077478466765e-11	2.1657077478713637e-11	5.594737169626469e-05	2.1657077478466765e-11	3.1307209494459445e-09	2.1657161722845254e-11	0.013037547823216354	2.7024261109493854e-11	1.899729074499014e-07	1.586486179618915e-06	2.1657077478466798e-11	0.1166380977526813	2.1657077478466765e-11	0.0027842039742361677	2.1657077478466765e-11	0.3279932732436486	3.1986784272110383e-10	0.254766367880269	7.356101374434716e-10	0.015300108764162547	2.165707747846678e-11
b14	none	si00411705	334	128	0	-0.84296125	0.22923745	-1.7441244999999999	-2.0518782	-0.46345794	-0.38453308	-1.5528723999999998	0.44738549999999994	0	0	1.6162868000000001	-1.098431	-1.1796898	0.5187550999999999	-1.0444796	0.9412706000000001	-1.0195191	-1.7040718000000001	0.4875777	-1.3264482	-0.475109	0.584922455731783	-0.7527374	-0.55892783	-0.8572117	0.45386509999999997	-0.9506109	-0.29589757	-1.1648117	-0.77982545	1	1	1.6244808000000002	-1.0895451	-0.813809	0.19322428	0.724603	-0.8268856	-0.67890596	-1.5331706	-0.9543372999999999	1.6192844	-1.0935287	0.58492243	0.58492243	44	1.7769973278045654	1.5562744140625	0.4451282024383545	0.6218323707580566	3.896136283874512	3.37801953205162e-05	4.3115919451272446e-05	1.646862530801953e-11	1.4213407897143554e-11	0.06079446769531136	7.700072457540968e-05	1.42134078971459e-11	1.6876278091091776e-11	0.0005234776906327777	1.4213407897143554e-11	1.6654593761294598e-11	5.501455811129203e-08	1.421731374286648e-11	0.01771893734405133	1.4213407897143554e-11	2.043999320511136e-10	2.5737304166130585e-08	1.4213407897143554e-11	1.421340865379891e-11	1.4213407897143554e-11	1.4213407897143554e-11	1.0735377302481864e-06	1.4213407897143554e-11	1.4213407897143554e-11	5.947250983176548e-11	1.421340879887209e-11	1.4213407897143554e-11	8.072256740400235e-10	1.4213407897143554e-11	1.4213407897143554e-11	1.4213407909502411e-11	1.4213407897143554e-11	1.4213407897143554e-11	0.014169444827303191	1.4213407903027272e-11	0.22145757549463366	3.660961150745798e-11	1.690887145186083e-06	0.00010714900705432636	1.3670059624831032e-08	1.4213578390033011e-11	1.4213407897143554e-11	1.4213407897143554e-11	1.7939461584161754e-11	0.5260438063812065	0.01384409638931952	0.00633638541280779	4.143646265330636e-11	0.1388457645205778	2.1380211751050456e-06
b13	none	si00585305	332	88	0	-0.40194786	-0.02020807	-0.5167315	-0.32557670000000005	-0.46313584	-0.17426848	-0.8207834	-0.24304073	0	0	-0.271366	-0.39205490000000004	-0.62822545	0.003229144	0.87001103	-0.7280414000000001	0.7140681999999999	0.23760183	-0.21235266	-0.65059143	-0.92935586	-0.078148036357577	-0.22481215	1.1193624	-1.2673683999999998	-0.08131537	0.49132416	-0.83720994	-0.9576473	-0.15217344	1	1	-0.25063070000000004	-0.38602093	0.21491037	1.0608659	0.39492604	0.5423965999999999	-0.526805	-0.94239783	0.0036211852000000004	-0.25219410000000003	-0.38837448	-0.07814804	-0.07814804	44	-0.7590440511703491	-0.10871367901563644	1.7515947818756104	0.5263597369194031	-0.415638267993927	1.801637472589871e-10	2.512263370220113e-10	4.9093528609744016e-05	3.813289353786533e-12	3.931395513768965e-06	3.818911285086752e-12	1.922315785304889e-10	0.01918340119346055	8.62557294462854e-06	3.813289353786533e-12	0.0034105509134445986	1.462220097823911e-09	0.0017914823975706052	0.05497428059896458	3.813289353786533e-12	6.383834371441365e-07	0.1116205550776925	3.813289353786533e-12	1.3513062869137563e-06	1.5429050031095255e-05	0.00044178017589693283	0.0064511496296058134	3.813289353786533e-12	3.904335976881348e-12	3.81329555716222e-12	0.04052807795419714	3.813289353786533e-12	7.57189514450558e-08	8.434424188418455e-09	3.951197825137052e-12	0.004615884980817249	5.5234137255006965e-06	3.181434720909013e-11	3.7811963833814525e-07	1.1317577494777152e-06	7.654543290233072e-06	3.546335021503827e-05	0.07459210637341232	0.04324230030513211	9.201684201813152e-05	0.24605317005102464	3.813289360533103e-12	3.270892987120884e-09	3.848290167378576e-12	0.3426551824878526	0.04220920400625346	0.0006991119891072435	6.605115252360728e-06	0.007277827012825465	2.6002886076213378e-05
a04	none	si00577353	36	153	1	-1.1893038	1.1679515	-1.5002111999999999	-1.6933116999999998	-0.7396175	-1.6984153999999998	1.1632818	-0.48065212	0	1	1.1005483	-0.613121	1.1897788999999999	1.1174303	0.93118656	0.5278193	-0.44165668	-0.65208393	0.72088784	-1.1092796	-0.26806438	0.9993415132876329	-1.1637173	1.2815326	-1.4271694	-0.2326663	-0.33264083	-1.7688582	1.138666	-0.98859537	1	1	1.0784205	-0.5766005	-0.48963270000000003	0.9197109	1.3322421	-0.6061951	-1.1883885	1.1167848	-0.8913972	1.0788527	-0.57761866	0.9993415000000001	0.9993415000000001	44	2.8699398040771484	1.48353374004364	2.596498966217041	0.4606684148311615	2.0947258472442627	0.0001329726392009896	1.4421470499232007e-11	3.2782341801936895e-08	7.495575040693651e-12	0.00032641029438312737	5.99688324544746e-10	7.495628484854924e-12	4.769687561209859e-05	0.001766802922418846	7.495575040693651e-12	2.799437590952487e-06	0.012888948707204986	5.173906346798091e-09	0.01852493332427154	7.495575040693651e-12	7.495575129910594e-12	4.4761053571637185e-05	7.495575040693651e-12	7.495575047897114e-12	7.582940278376007e-12	7.495575040693651e-12	8.805550256474994e-10	7.495575040693651e-12	7.495575040693657e-12	0.0001831056539008432	7.545505576395476e-12	7.495575040693651e-12	0.0036682888555905975	7.495575040693651e-12	7.495575040693651e-12	7.495614489786531e-12	7.495575040693651e-12	7.495575040693651e-12	2.8319058598210524e-05	7.498023309342554e-12	0.14248317836095067	6.507239870543187e-10	0.0004795233905087881	0.0001324145231747735	6.975465290849e-07	1.9789392192156548e-05	7.495575040693651e-12	9.876308836617458e-12	7.495575040693651e-12	0.6180397770642688	3.85329874631174e-05	0.0830137297381456	1.940891110208628e-06	0.11817533700674357	7.509265118004317e-12
a05	none	si00408485	37	55	1	-0.14233796	1.0508435	-0.29114482	-0.77222484	0.47731474	-0.64722955	-0.12971143	0.19502814	0	1	0.119840555	-0.35587847	-0.5309724	-0.5788163000000001	0.8767094000000001	-1.1453066	1.2919306000000002	0.49084604	-0.5289878	0.9709777	0.7452474	-0.625181192331299	-0.11454928	1.2429743	0.23378675	-0.5146588	0.80348307	-0.8616256999999999	0.06989594	0.100581296	1	1	0.114243135	-0.33635423	0.5693431	0.8533704	0.36253520000000006	0.5342328000000001	-0.24861036	0.04076335	0.28481388	0.116249055	-0.3359373	-0.6251812	-0.6251812	44	-1.7239913940429688	-0.20728665590286252	1.8298028707504272	0.5318458676338196	0.012877159751951694	2.3150080048251242e-10	4.6331899375921e-12	1.502879778602124e-06	4.542352328592103e-12	3.608097227774871e-05	4.6300033464816816e-12	1.847347497765046e-11	0.003956476894230836	7.439315146104804e-05	4.542352328592103e-12	0.0015821556515227824	5.966913927953554e-12	1.120813393241854e-05	0.06067528684613665	4.542352328592103e-12	4.577378754334778e-08	0.08137514452193581	4.542352328592103e-12	5.849453448333988e-06	1.1548092569539588e-08	0.021624288150438226	0.02438763026555289	4.542352328592103e-12	4.544809041669032e-12	4.542716084449687e-12	0.08898869500901918	4.542352328592103e-12	3.968164091616705e-11	3.535295975785835e-07	7.053351060999453e-10	0.006523722425690032	1.0753366079530951e-10	2.706955170602724e-09	3.855586330560853e-06	8.751957560886501e-07	1.239054048278673e-06	2.0167564408317485e-05	0.033009416161407144	0.020555964322191738	1.2962956351154228e-09	0.22442930745098497	4.5423796502143966e-12	4.549583830831548e-12	4.897073128080224e-12	0.37049028974280224	0.05832341568571036	0.0008051332442364407	1.3160721742010648e-05	0.003077472139665137	2.685275247838685e-05
a04	none	si00577353	33	91	1	0.15843317	0.8798748	-1.7913213	-1.0831084	0.99487865	0.10610804	0.25461128	0.6548576	0	4	0.7669978	-0.5424	-1.3338398999999999	0.05311875	0.7195508	1.0134664	-0.44165668	-0.14539054	-0.04570258	-0.6298159000000001	1.7917694	-0.028417749450875	-0.007627706	0.46860263	0.07382916	0.65743595	0.09831323	-0.14072487	0.55381316	-0.21632648	1	1	0.7400045999999999	-0.52859765	0.16304217	0.17526518	0.44612256	0.08145846	0.12771675	0.6170864	-0.05741751	0.7403582	-0.52972823	-0.02841775	-0.02841775	44	-1.2956475019454956	0.9396094679832458	0.5383659601211548	0.4470890760421753	2.403165340423584	0.00012114337776928972	5.954454910711814e-07	8.28319833696341e-10	9.953404604742355e-09	0.013123720161021365	4.266522719089606e-08	5.3308684318683744e-12	4.2080963913686e-09	0.21528259890428286	5.330855504027368e-12	2.9224679973466865e-07	5.3323198495056464e-12	5.729107187040683e-12	0.0772488205840558	5.330855504027368e-12	0.00010879383928236996	0.0050625377265737315	5.330855504027368e-12	2.751506154287061e-09	5.330855504027588e-12	1.1717966483134234e-06	0.011764927898293998	5.330855504027368e-12	5.330855504027474e-12	0.03404066051680542	6.128090491181235e-08	5.330855504027368e-12	5.3321006213318565e-12	5.33085664101008e-12	5.33616826168055e-12	1.365920872651675e-08	5.330855504027368e-12	5.330855528014786e-12	0.0010712403552431671	5.413582433303024e-12	0.033554365516741555	8.91481698180955e-08	0.00029364208715965264	0.0022917014842693336	5.330895032527126e-12	2.100912544135128e-06	5.330855504027368e-12	5.330855504027368e-12	5.6415998035895754e-08	0.3515054956208297	0.05807095111961956	0.033314635333286845	0.0030692274786225807	0.15995920636230168	0.00011189021974685854
a02	abl2	none	18	151	1	-0.44369712	1.0678196000000002	-1.9542955000000002	-1.8258737	0.47617173	-0.68374294	-1.3444383999999998	0.7367759	0	1	0.349879	-0.8300875	0.37319815	0.784833	-1.0226463	0.11779081	0.13620575	-0.7515583	1.037523	0.45633698	-0.7438206	0.966187988683165	-0.5956964	-0.028365472000000003	-0.82230145	-0.38766283	-0.5515701999999999	-0.2657191	-0.98768985	-0.37620616	1	1	0.33415120000000004	-0.89982104	-0.43344215	0.56997156	0.39399895	-0.36275738	-0.62726474	-0.8206556	-0.51316774	0.33157190000000003	-0.8972715	0.9661879999999999	0.9661879999999999	44	0.4467077851295471	1.3345575332641602	1.5205156803131104	0.5382460951805115	2.663949728012085	0.00017369863642359388	0.0004014394270432279	3.609607792037783e-10	4.8038973490893095e-12	0.015013024486084338	1.4911931225979852e-07	4.803897223250547e-12	1.954911901248348e-08	0.014823383171946047	4.803897084283785e-12	4.347242628481047e-08	2.227334949700885e-09	5.330218256891933e-12	0.036563947629782566	4.803897084283785e-12	1.6862979133268873e-11	0.001364928631760925	4.803897084283785e-12	4.8073719713735035e-12	4.803897084375279e-12	4.8038971616901855e-12	3.2825064475915626e-05	4.803897084283785e-12	4.803897084283785e-12	0.0020441112150706	8.379320519063962e-12	4.803897084283785e-12	1.574459261347227e-09	4.803897084283785e-12	4.803897084283847e-12	4.8557884466374544e-12	4.803897084283785e-12	4.803897084283785e-12	0.0011524024797279488	4.805524200588498e-12	0.17717550234794024	1.3232833374161574e-09	0.0007753277455537133	0.0006275270544890527	1.1859001308069802e-09	1.053846043802353e-07	4.803897084283785e-12	4.803897084286876e-12	4.8056897543955244e-12	0.4243409781826019	0.0037944597560546226	0.05145175090879507	3.1771956203639466e-05	0.270232574092384	2.2889553014774016e-08
a17	none	si00576289	151	218	0	-1.1590208999999998	1.568495	-0.72790456	-2.143767	0.8801768	-2.2016869999999997	1.716822	-0.017439578	0	0	1.6434726999999998	-0.06012224	-0.8807398000000001	1.9988133999999997	-1.2757938	-0.2126511	-1.5973815	-1.7477291000000001	1.9041034	-0.788996	1.7098988000000002	2.07683106293284	-1.5680143999999998	1.5129421	0.5326005	-1.2135975	-0.5031643	-2.3478737	1.6086120000000002	-1.1634023	1	1	1.6488694	-0.1592129	-1.9376199	1.9064976000000002	-1.1018562	-0.5666613	-2.6271150000000003	1.6610179	-1.3888056	1.6383653999999999	-0.15850405	2.0768310000000003	2.0768310000000003	44	4.464835166931152	2.82417893409729	4.7477335929870605	-0.4563964009284973	3.3442869186401367	0.0010635863738118606	2.496485393211967e-10	2.4964889175199757e-10	2.496485393211967e-10	1.6280085273940544e-07	2.496485393566072e-10	2.49653115443124e-10	2.6369919368363906e-09	2.5002297139854355e-10	2.496485393211967e-10	1.0302887017529457e-06	0.03485417837035655	2.4964854016131844e-10	2.367341018022515e-05	2.496485393211967e-10	2.496485393211967e-10	1.2927771857613165e-09	2.496485393211967e-10	2.496485393211967e-10	2.4964881332354355e-10	2.496485393211967e-10	2.4964854754957857e-10	2.496485393211967e-10	2.496485393212016e-10	2.60151883893435e-06	2.496485393211967e-10	2.496485393211967e-10	0.006382097307581095	2.496485393211967e-10	2.496485393211967e-10	2.496485393211967e-10	2.496485393211967e-10	2.496485393211967e-10	2.7156681078767713e-10	2.496485393211967e-10	0.0006352045965075428	2.4968332813147965e-10	5.203356004093323e-10	6.306245305818054e-09	2.496485393211967e-10	7.246080676540521e-10	2.496485393211967e-10	2.496485393213597e-10	2.496485393211967e-10	0.9357129909038098	2.768850833207481e-10	0.021283735456613245	2.506613665052779e-10	4.071895315579129e-05	2.496485393211967e-10
a08	none	si00557781	72	101	0	-1.1346181999999998	1.1812238000000002	-1.4999844	-0.13741897	-0.6702347	-1.6746572	-0.66498786	-1.0408085999999999	0	0	1.108579	-0.45633453	1.1470866000000002	0.10300836	-0.34326193	0.45636672	0.13620575	0.6839956	0.17094253	0.5019911	-0.36170083	0.137349873571465	-0.9365089	0.96096706	-0.7655059000000001	-0.13063413	-0.40885103	-1.2925043999999999	-0.55378455	-0.78607315	1	1	1.1211693999999999	-0.44932243	-1.4924178999999997	1.7102578000000002	-1.3546873	0.14074554	-1.8651401	-0.5916743	-0.7767915	1.1207489	-0.44037881	0.13734987	0.13734987	44	2.5976226329803467	0.5599753260612488	3.2458314895629883	0.8673282265663147	-0.08682932704687119	9.088392811386876e-10	1.0011375773693731e-11	6.567368411755164e-06	7.761640557846e-12	1.9480580124688786e-05	7.819448665821935e-12	7.77628255416774e-12	0.04747685202312255	1.7148575924673497e-05	7.761640557846e-12	0.0005962547881855532	0.01303344899287038	0.002721378217863782	0.04911960853003945	7.761640557846e-12	7.761644792659076e-12	0.0036845866772243353	7.761640557846e-12	7.762142916434528e-12	5.77232577238482e-07	7.761640557846037e-12	1.4459001170873024e-08	7.761640557846e-12	7.761640584140034e-12	7.76166517369271e-12	7.858680305140855e-06	7.761640557846e-12	0.1871332393925937	7.76164055784696e-12	7.761640557846e-12	3.6910259235488565e-10	3.7715499781515497e-05	7.761640557846005e-12	8.27222244429709e-06	1.4737462122188431e-07	0.007915256756183412	8.632394536518813e-08	1.2975263918431814e-05	9.842174364729664e-05	1.7284986083419968e-10	0.244050457775282	7.761640557846e-12	0.0012320799261800915	7.761640557846e-12	0.3607572216001284	3.249711237812075e-05	0.02225265827335081	5.131585049114078e-09	0.05978518786983882	7.885046809035557e-12
a06	none	si00577689	51	82	1	-0.12881355	0.39233255	-0.63922477	-0.41828728	-0.057266187	-0.11891471	0.78446615	0.023694323	0	2	-0.40232643	-0.9766146000000001	-0.3821907	-0.16306955	0.12868372	1.1042477	0.7140681999999999	0.19116712	-0.36233774	-1.2709041	0.0150942	-0.17760861017098103	-0.7995156	1.467801	-2.6261444	-0.96491075	0.44007328	-1.6483691999999999	1.0541999	-0.3671491	1	1	-0.41186237	-0.90512043	-0.9953477	1.5780075	-0.774544	0.19613224	-1.5847697	0.8216572	-0.5315513000000001	-0.4131893	-0.91970104	-0.17760861	-0.17760861	44	0.038738775998353965	-0.8257864713668823	3.8170571327209473	1.6869311332702637	0.30444425344467163	1.6612321940951335e-11	1.885161666672916e-09	3.603933039390122e-10	1.661231932814475e-11	0.041367622802417764	7.415568136957667e-08	1.6612319328154953e-11	0.0008426289226353939	1.8947129990585255e-08	1.661231932814475e-11	6.334297245239118e-07	1.2944870979166633e-05	1.035093989677726e-05	0.2740040039912648	1.661231932814475e-11	1.6612319328145304e-11	0.08901542142323797	1.661231932814475e-11	1.8349369711130547e-11	1.6741090141122235e-11	1.9872356037870344e-09	2.5700997782802055e-05	1.661231932814475e-11	1.661231932814475e-11	1.6612319328255255e-11	0.03517877689963722	1.661231932814475e-11	0.00027858389654829226	2.1912100678775004e-10	1.6612321071759385e-11	3.1805335585547832e-09	1.6613187436515636e-11	8.050367969335972e-11	0.07389965671419739	0.00960315920162496	7.540711740317821e-06	1.6970133335454773e-09	2.667788181975684e-07	6.972276365044933e-08	1.665419799237117e-11	0.05155227951726196	1.661241798747866e-11	3.2654917853834834e-11	1.661231932814475e-11	0.4232901598183487	0.00017281979075981941	0.0002145334935674085	2.4810186775675307e-11	0.0005227431857276679	1.989600653322952e-11
