well	gene	sirna	image_idx	object_idx	is_infected	cells_areashape_area	cells_areashape_eccentricity	cells_areashape_extent	cells_areashape_formfactor	cells_areashape_majoraxislength	cells_areashape_minoraxislength	cells_areashape_orientation	cells_areashape_perimeter	cells_children_bacteria_count	cells_children_invasomes_count	cells_location_center_x	cells_location_center_y	cells_neighbors_anglebetweenneighbors_2	cells_neighbors_firstclosestobjectnumber_2	cells_neighbors_firstclosestxvector_2	cells_neighbors_firstclosestyvector_2	cells_neighbors_numberofneighbors_2	cells_neighbors_percenttouching_2	cells_neighbors_secondclosestobjectnumber_2	cells_neighbors_secondclosestxvector_2	cells_neighbors_secondclosestyvector_2	cells_parent_nuclei	nuclei_areashape_area	nuclei_areashape_eccentricity	nuclei_areashape_extent	nuclei_areashape_formfactor	nuclei_areashape_majoraxislength	nuclei_areashape_minoraxislength	nuclei_areashape_orientation	nuclei_areashape_perimeter	nuclei_children_cells_count	nuclei_children_perinuclei_count	nuclei_location_center_x	nuclei_location_center_y	perinuclei_areashape_area	perinuclei_areashape_eccentricity	perinuclei_areashape_formfactor	perinuclei_areashape_majoraxislength	perinuclei_areashape_minoraxislength	perinuclei_areashape_orientation	perinuclei_areashape_perimeter	perinuclei_location_center_x	perinuclei_location_center_y	perinuclei_parent_expandednuclei	perinuclei_parent_nuclei	prediction	f_0	f_1	f_2	f_3	f_4
b13	none	si00585305	327	220	0	-0.5648288	0.6804969	-0.29169807	0.5870833000000001	-0.39259267	-0.7752792	0.8621972	-0.6717595000000001	0	0	1.4186968	0.027551167	-0.08112772	2.2150017999999996	0.79692316	0.56645286	0.7140681999999999	0.7135189000000001	2.2374036	0.3765183	-1.308835	2.10998458753731	-0.16466877	0.25667579999999995	0.30598587	0.84117466	-0.171311	-0.15382089999999998	0.55427593	-0.39318782	1	1	1.4295763000000001	0.02209099	0.011759915	-0.029958817999999998	0.6314571999999999	-0.16681108	0.08671049	0.615829	-0.24841155	1.4298902	0.02247078	2.1099846	2.1099846	56	1.7464118003845217	4.592384338378906	-0.4213418364524841	-0.033959023654460914	-0.3506770730018616
a05	none	si00408485	45	284	0	-0.42341049999999997	0.61529875	-1.4147298000000001	0.039484352	-0.19706118	-0.51636016	1.1345201999999999	-0.3966135	0	0	1.3771067	1.3843653999999999	1.3584951	3.0298653	-0.6597831999999999	-0.83268267	-0.44165668	0.69264454	3.4872792	0.68570304	0.64469093	3.17089737488029	0.16277856	-1.3968086000000002	0.81952524	0.5893390000000001	-0.42185083	0.9091279000000001	0.009189200000000002	-0.06479109999999999	1	1	1.3454144	1.3856107	-0.61065847	-0.61538965	-0.7607729999999999	-0.4189242	0.27432236	0.7991877	-0.17650594	1.3561794	1.3985724	3.1708974999999997	3.1708974999999997	56	1.804443597793579	6.043589115142822	-1.0086472034454346	-2.237755537033081	-0.4652761518955231
b08	none	si00391398	284	286	0	-1.0472975	0.31696737	-0.8390728999999999	-0.7222062	-0.7877991	-0.80667543	-0.4569182	-0.75297326	0	0	1.4934556	1.0232431999999998	-0.09838046	3.0298653	-0.8273764000000001	0.2885193	0.7140681999999999	0.7135189000000001	3.203974	-0.016004749	-0.7415931	3.2040508994847596	-0.7226657	-0.10905048	0.9278294	0.8513079	-0.8134956999999999	-0.4835567	-0.51997465	-0.85857016	1	1	1.495473	1.0461372	-0.9910253000000001	0.2696422	0.28649384	-0.79323596	-0.71202695	-1.0787361	-0.95474494	1.5053427	1.0474081	3.2040509999999998	3.2040509999999998	56	4.085468769073486	5.318537712097168	-0.2360909581184387	-1.910449981689453	0.2335682660341263
b07	none	si00499625	279	233	0	-1.0722883	0.6810751	0.7269154999999999	0.8361786	-1.0115421999999998	-1.3396093	-0.19965906	-1.1778451	0	0	1.3393327	1.4342486	-0.83993626	2.2648914	-0.35935467	-0.78435355	0.7140681999999999	0.7135189000000001	2.4540486	0.6373335	-0.5129401	2.3254824974663504	-0.5455769	0.055648595	0.7107445	0.94833845	-0.60990894	-0.40830815	-0.5392011999999999	-0.7316477	1	1	1.3458364	1.4234413000000001	-0.8267760000000001	-0.24231696	0.11402345400000001	-0.76686466	-0.30228215	-0.48305413	-0.74314815	1.3466146	1.4319007	2.3254826	2.3254826	56	3.607021570205689	4.214721202850342	-0.6635551452636719	-2.1080143451690674	-1.5679886341094968
a02	abl2	none	10	176	1	-0.65097344	0.010479862	1.4414742	1.4486126	-0.74337626	-0.52293795	-1.6829515	-0.9233296	0	1	1.6098992	0.39403920000000003	-1.2787505	1.2670991000000003	-0.683458	1.1224889	-0.44165668	0.7135189000000001	1.1208481000000001	-1.1497629999999999	0.028066953999999998	1.3806070462390199	-0.57564855	0.59315884	0.8838524999999999	0.70691514	-0.35194772	-0.73557836	-1.3781763	-0.6928206	1	1	1.6097215	0.40211013	-0.15681174	0.13158457	1.155178	-0.45573255	-0.30413917	-1.3078161	-0.57198715	1.6105753999999999	0.40261906	1.380607	1.380607	56	2.609051465988159	3.227668285369873	-0.7180396318435669	-0.35196733474731445	-0.8326584100723267
a07	none	si00574497	58	220	0	-0.5404260999999999	-0.32127658	0.6020643	1.01146	-0.73647636	-0.29229540000000004	0.05082252	-0.7531765	0	0	1.5381586999999999	-0.36999467	0.7319059	2.0653330000000003	0.115958564	1.1953354999999999	-0.44165668	-0.18124689	1.8541085	-0.8228688	-0.93921393	2.10998458753731	-0.36514673	0.41762865	0.15610704	0.3741934	-0.2361643	-0.40719229999999995	-1.2036113000000002	-0.4181782	1	1	1.5242832	-0.3346386	-0.40750805	0.031682134	0.44214200000000003	-0.45546103	-0.22219099	-0.8600302	-0.5102244	1.5246996000000002	-0.34311134	2.1099846	2.1099846	56	2.2984097003936768	4.280027389526366	-0.2835113108158112	0.6565079689025879	-0.182433158159256
a05	none	si00408485	45	315	1	-0.8679520000000001	0.28758392	0.30181453	1.3234431999999998	-0.939267	-0.9442179	1.7043013999999999	-1.0737346	0	2	1.5290046	0.41430542	-0.01678124	3.4123523000000002	-0.66693085	0.67936796	2.4476554	0.7135189000000001	3.9039044	0.7162283	0.30242175	3.68477700624954	-0.44867920000000006	-0.339156	-0.024161316000000002	0.36908009999999997	-0.64282334	-0.09824796	1.5909446000000003	-0.48753056	1	1	1.5245526000000003	0.42930317	-0.035785936000000004	-0.70652515	0.891387	-0.6290772	0.12501635	1.6001937	-0.3839821	1.5247427	0.42842713	3.6847769999999995	3.6847769999999995	56	3.318910837173462	6.887903690338135	-1.2484592199325562	-0.12361719459295273	-1.2820172309875488
b07	none	si00499625	278	242	0	-0.79062766	-0.6794524000000001	0.9101794	1.3451413	-1.0843877	-0.5502993	-1.0696356000000002	-1.0135701	0	0	1.5980444	0.25334996	1.5279796	2.43119	-0.26761940000000006	1.1269858999999998	-0.44165668	0.5475800000000001	2.5873687000000003	0.21166615	-1.0387768	2.4746733581864597	-0.7861504	0.03762831	1.1157069	0.38124959999999997	-0.79434276	-0.59107155	-0.13607202	-0.7902661	1	1	1.5790892	0.23651599999999998	-0.2389364	-0.49231493	1.2771735	-0.8848600000000001	-0.25163206	-0.2536801	-0.67721975	1.5801356000000002	0.23761913	2.4746732999999996	2.4746732999999996	56	3.652183532714844	4.722431182861328	-1.5328434705734253	-0.16055472195148468	-0.8132296800613403
b02	abl2	none	234	189	0	-1.1525526000000001	-2.1778169	1.4555863000000002	1.6882609	-1.634496	-0.9047697	0.77829856	-1.3848411	0	0	1.1529891	0.08034655	0.61402076	1.4832875	-0.6465249	-0.66235596	0.13620575	0.7135189000000001	1.7374532999999999	0.7718335999999999	0.06420068	1.59610495616806	-0.8964133	-0.07371465	0.5506488	0.7883642	-0.95699656	-0.6726743000000001	0.39267805	-0.99865884	1	1	1.1584393	0.069327794	-0.55879027	-0.30265483	1.1801738000000002	-0.97817945	-0.45904723	0.5120469	-0.8966495999999999	1.1588707	0.06892963	1.5961049999999999	1.5961049999999999	56	3.8353140354156494	2.9275503158569336	-1.9714065790176392	0.4265068471431732	-1.7654887437820437
b08	none	si00391398	280	224	0	-0.89794093	0.22223942	0.31170845	0.89370996	-0.94035184	-0.8971198	1.0472987	-1.0220761	0	0	1.3933347	0.23646589	-1.2843038999999998	2.0154433000000003	-0.9762434999999999	-0.19696046	0.7140681999999999	0.7135189000000001	2.0874186000000003	-0.3247777	-0.82332003	2.17629163674625	-1.026724	-0.030793427999999998	0.5158505999999999	0.8378565	-1.1013116000000003	-0.8671485999999999	-1.2988663999999999	-1.1321642	1	1	1.3673035	0.2692757	-0.5890466999999999	-0.43446198	1.5718231000000003	-1.1464765	-0.5361560000000001	-1.2202787	-1.0464381	1.368225	0.26957643	2.1762917	2.1762917	56	4.11839771270752	3.684359312057495	-1.2396247386932373	-0.5366536974906921	-0.049869664013385766
