well	gene	sirna	image_idx	object_idx	is_infected	cells_areashape_area	cells_areashape_eccentricity	cells_areashape_extent	cells_areashape_formfactor	cells_areashape_majoraxislength	cells_areashape_minoraxislength	cells_areashape_orientation	cells_areashape_perimeter	cells_children_bacteria_count	cells_children_invasomes_count	cells_location_center_x	cells_location_center_y	cells_neighbors_anglebetweenneighbors_2	cells_neighbors_firstclosestobjectnumber_2	cells_neighbors_firstclosestxvector_2	cells_neighbors_firstclosestyvector_2	cells_neighbors_numberofneighbors_2	cells_neighbors_percenttouching_2	cells_neighbors_secondclosestobjectnumber_2	cells_neighbors_secondclosestxvector_2	cells_neighbors_secondclosestyvector_2	cells_parent_nuclei	nuclei_areashape_area	nuclei_areashape_eccentricity	nuclei_areashape_extent	nuclei_areashape_formfactor	nuclei_areashape_majoraxislength	nuclei_areashape_minoraxislength	nuclei_areashape_orientation	nuclei_areashape_perimeter	nuclei_children_cells_count	nuclei_children_perinuclei_count	nuclei_location_center_x	nuclei_location_center_y	perinuclei_areashape_area	perinuclei_areashape_eccentricity	perinuclei_areashape_formfactor	perinuclei_areashape_majoraxislength	perinuclei_areashape_minoraxislength	perinuclei_areashape_orientation	perinuclei_areashape_perimeter	perinuclei_location_center_x	perinuclei_location_center_y	perinuclei_parent_expandednuclei	perinuclei_parent_nuclei	prediction	f_0	f_1	f_2	f_3	f_4	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49
a05	none	si00408485	42	134	1	-0.21143006	-3.6954712999999995	-0.17149507	-0.8715806	-0.8118447	0.7523218	0.026011758	0.1922097	0	2	1.2232648000000002	-0.28988909999999996	-0.5476649	0.5852746	-1.08934	0.5789470999999999	-0.44165668	-1.1553464	0.80421287	0.68529576	1.3720231	0.684383029545187	-0.27493164	0.39950058	-0.69608796	0.09998509	-0.07784343	-0.22741605	0.64774996	-0.25553134	1	1	1.2241963	-0.29006517	0.16736452	0.10779525	0.59032196	-0.1323884	0.00075207936	0.6478666000000001	-0.11247898	1.224242	-0.29135218	0.68438303	0.68438303	21	0.003460929729044437	-0.007137306500226259	-0.0015220268396660686	-0.008430860005319118	0.001867735292762518	0.11029144838978716	6.160273500798852e-17	1.031591103475912e-06	0.0014575665291025495	5.1797133872584584e-14	7.444418857531559e-07	1.77433360710514e-16	2.056890238541589e-07	5.918747410736005e-24	5.609551430778557e-24	0.06402589444551728	0.013244374218267864	0.026299191295397227	0.0005721034475174427	4.86577670496575e-13	4.867717402150863e-06	0.00013554247508973174	5.6067319808202216e-24	5.6067319808202216e-24	3.3775228772827296e-23	5.6067319808202216e-24	0.3164543249475835	3.210510831531364e-07	1.336870165414008e-06	0.00874128470893412	5.750089728380409e-19	8.114355308270777e-15	3.964726527863667e-12	1.2379528962145701e-12	0.0023728053207594433	5.6067319808202216e-24	0.00031412278208307036	5.606732030369702e-24	4.780923775632246e-06	5.6067319808202216e-24	0.005882029968796698	3.405447018008919e-13	2.0476244197959804e-15	0.00018352030371012262	0.027176707696430248	6.4312303630027085e-06	5.6067842329465245e-24	0.00020049678761658172	2.6869244177637558e-08	0.10753142628513328	9.255520763869704e-14	0.20274584420155398	0.03170142074035488	0.0800676488101866	0.0005825002559467609
a02	abl2	none	18	121	1	-0.83943313	-1.6769326	0.71601564	1.9296360000000001	-1.2608383	-0.43651062	0.64485675	-1.1449127000000001	0	2	0.023818573	-0.18176721	0.1502384	0.38571614	-0.5380621999999999	0.9451779	1.2919306000000002	0.7135189000000001	0.37092263	-0.46810406	-0.7717119	0.46888511961614504	0.00907879	-1.2715127	0.018485228	0.029699922000000004	-0.5639911	0.6481861999999999	0.62708694	0.002464654	1	1	0.031564794	-0.19403371	0.2624562	-1.4355606	0.5504268	-0.42276672	0.71637356	0.44249472	-0.024090572999999997	0.031855166000000004	-0.19443466	0.46888512	0.46888512	21	0.0016641005640849473	0.005259506404399872	0.004619809333235025	-0.0028633284382522106	0.02110113389790058	3.1023375774063812e-09	3.73372500756033e-22	0.014088355579432568	0.00015875634418642342	6.0463953048954775e-06	4.791335633455179e-06	1.281405612465543e-11	5.236770243653794e-06	3.7337250086042397e-22	7.798775267147978e-22	4.3662202902002915e-06	0.2653335573965189	1.708460699139922e-05	0.0001492977826260705	3.441080013886773e-07	2.1868608433601918e-09	0.00010786272366823367	3.73372500756033e-22	3.73372500756033e-22	3.73372500756033e-22	3.73372500756033e-22	0.2842583174884797	0.12407673241413975	0.01461989756537842	1.756739836351069e-08	3.433676976073087e-05	5.786991864591841e-15	1.8270438357417152e-09	0.005907144951713681	3.095529751453947e-07	2.980761513457305e-20	9.125890733355427e-22	2.9430045381726466e-10	3.1648392450244036e-12	3.733773475883138e-22	1.3286928993218696e-05	1.0247670628628564e-07	0.0011749314084948035	8.597314255396716e-16	2.787988044609804e-06	3.73372500756033e-22	9.61671687678058e-13	0.009222650938797898	0.1539014961480459	0.000600224778044653	0.008776278219629481	0.000614410780024767	0.00036478935041618936	1.1881480269298954e-07	0.11655645916776647
a06	none	si00577689	46	138	0	0.8505302	-0.5033777	0.23253791	0.35783446	0.34266466	1.2193147	-1.4478592	0.33463567	0	0	0.76727784	0.056477558	1.1936044	0.8347226000000001	1.3744299999999998	-0.92766184	1.869793	0.42712757	0.62089777	-1.360554	0.44604897	0.7506900787541229	2.210995	-1.5508476	-0.049703437999999996	-0.6407035	0.885618	2.7547076	-1.4475615	1.8674322	1	1	0.77163416	0.07076014	1.7796011000000003	-1.1037927	-0.9615405999999999	1.2319921	2.238987	-1.1966455	1.8625745999999999	0.7738939	0.06982144	0.7506901	0.7506901	21	-0.0010872904676944015	-0.014287599362432957	0.018568301573395733	-0.004618349485099316	0.01833142526447773	9.424127402846726e-10	9.139673984885208e-23	7.523312530972209e-13	0.00039944608552126967	0.0001942733740461976	9.140334122333166e-23	8.334960835973748e-09	0.0009351730861307263	9.139673984885208e-23	9.212805123251535e-23	1.3082504061134119e-11	6.240971015451698e-10	8.200522979272304e-13	1.6184982104949065e-12	3.418275963643389e-14	4.8438557114376364e-20	2.294606259570117e-22	9.139673984885208e-23	9.139673984885208e-23	3.55677813586952e-15	9.139673984885208e-23	0.9891475579575271	1.0963543926089675e-09	3.3252818124214607e-09	1.2587164136320708e-09	1.7640365205014436e-10	9.441928414963543e-23	9.139673984885208e-23	0.0002346603026752355	2.9309867151771194e-21	9.139673984885208e-23	9.139673984885208e-23	1.1875069619933962e-22	8.049367716598745e-12	9.139673984885208e-23	1.7325614554768871e-12	1.8506515452505886e-07	3.400870783740293e-10	1.8386378145493956e-22	7.232950584678289e-13	9.139673984885288e-23	9.520021404722929e-23	0.0049684778540059074	1.558440583565155e-09	0.00411397800819845	1.6335412003519954e-08	6.174776007942297e-06	1.7739243556619324e-15	3.94717481323632e-08	5.027184752235718e-19
a04	none	si00577353	35	102	1	0.63208157	-1.2599818	1.2782784	0.94212586	-0.06771034	1.1776266000000002	0.040580347	0.0044033094	0	1	-0.09752855	0.52769935	1.2261106000000002	0.05311875	-0.023915907	-1.3269236999999998	1.869793	0.7135189000000001	0.20427255	0.3069804	1.1305583000000001	0.153926635873699	1.6997761999999998	-0.68574053	0.4752299	0.29957357	0.77501315	1.8973186000000002	1.4450996999999999	1.0965058	1	1	-0.08968899400000001	0.50751126	1.321432	-1.3150692	-0.5468295999999999	0.8077663	1.9355261000000001	1.3700407	1.2847021	-0.087862566	0.5087496	0.15392664	0.15392664	21	-0.004757713060826063	-0.006872020196169615	0.015896711498498917	0.0017520206747576597	0.02266019582748413	5.340194881918536e-16	1.0715698967405806e-22	7.614905581900578e-13	0.0002601063016762168	0.002393077479462902	1.0715698972330902e-22	0.0001940730743799044	3.8343015951809835e-05	1.0715698967405806e-22	5.318010427770287e-14	1.7117056444062162e-10	2.138381509671522e-08	1.1008941691914263e-17	2.8860930985727068e-18	1.1789664462230198e-07	4.981637087487092e-11	1.0780731709978762e-22	1.0715698967405806e-22	1.0715698967405806e-22	6.8902610795778426e-09	1.0715698967405806e-22	0.7450970481639672	6.56347005885322e-05	7.096258538197346e-09	7.993144941476221e-17	7.469979417465771e-07	1.071569896740582e-22	1.0715698968386935e-22	0.21495612232565867	6.431438049326996e-18	1.0715698967405806e-22	1.0715698967405806e-22	3.0288596238552463e-06	1.1490221579257079e-20	1.2495184888763992e-22	5.641963966620849e-14	0.00029634016663716145	1.2741447692392526e-06	1.1514380477952013e-22	8.036274467388846e-11	1.0715698967405806e-22	7.501750972795757e-10	0.035541602640645126	1.5212622629178438e-11	0.00015316804999402194	0.0009940914671530347	5.188261616215251e-06	2.5760307440600172e-14	1.3226763811137769e-11	2.0935649698726506e-12
a05	none	si00408485	39	57	1	0.8805190999999999	-0.044754114000000005	0.5592589	0.55834085	0.40786755	0.8672046999999998	0.4548028	0.271989	0	4	-0.9546906999999999	0.46117908	-0.7436843000000001	-0.62870586	-0.30742872	-1.435123	1.869793	0.7135189000000001	-0.44566279999999997	1.2971705	-0.5229375	-0.592027667726831	2.0840256	-0.36354768	0.43538216	0.67516863	1.1095601000000002	1.9616443	1.2937496000000002	1.1780173	1	1	-0.9138205	0.4474577	1.4467801000000002	-0.5195119	-0.6601984000000001	1.3376938999999999	1.8997664	1.2309748	1.4401057	-0.9148619	0.44795617	-0.59202766	-0.59202766	21	-0.005311973392963409	-0.0077190110459923736	0.017033154144883156	0.009821847081184387	0.016419129446148872	6.134175245916618e-23	6.134213523121447e-23	5.983194989320847e-15	0.0022250200572699746	0.009838024491501642	6.134175246225254e-23	0.0007870637382282423	3.77177246336947e-06	6.134175245914564e-23	2.291672696210557e-08	6.089204659317706e-12	4.415697773031383e-12	6.784741702396581e-18	9.373289676834936e-23	1.745513889757295e-05	5.678589013866289e-13	6.134175245914564e-23	6.134175245914564e-23	6.134175245914564e-23	3.075630752004881e-07	6.134175245914564e-23	0.6001455919514773	5.195459401951804e-08	5.225204452376062e-12	4.13562227973771e-17	1.1103655016646324e-05	6.134175245914564e-23	6.134175245964922e-23	0.01824051976133612	4.561965493988714e-15	6.134175245914564e-23	6.134175245914596e-23	0.3241816360213365	1.281626784224208e-21	2.1780844485527734e-08	5.368356063614592e-21	0.00017061700031762112	8.328265340737071e-05	4.6779707370025645e-12	4.299120583318729e-10	6.134175245914564e-23	0.02298250299280393	0.02065917044395301	7.4642598714436094e-06	4.2963429273054026e-07	0.0006337449915665692	1.2196769984942281e-05	1.5613629753781843e-22	1.3253724913490775e-13	3.3278270627273485e-15
a06	none	si00577689	50	206	1	0.21458888	-1.8566782	1.5143073999999999	1.269754	-0.47625053	0.8402845999999999	0.008275821	-0.32165205	0	2	1.4521749	-1.4304669	1.2906513000000002	1.8158848	-0.15702364	1.3943354	1.2919306000000002	0.58990645	1.9207685	-0.110816225	-1.1638382999999999	1.8779099153060401	0.8076493	-0.24539126	0.0023920487	0.6766471	0.33449954	0.94007254	0.58203477	0.36901793	1	1	1.4739307	-1.4232572000000001	0.68604654	-0.38117895	-0.06543756	0.49210906	0.9798996999999999	0.6510669	0.56645983	1.4742303999999997	-1.4261985000000001	1.8779099	1.8779099	21	0.013141932897269726	-0.004669132642447949	0.012258697301149368	-0.01626531220972538	0.017751863226294518	0.003304798353277928	6.856083167999862e-22	0.015162590085950396	2.131993659318256e-05	1.0346667719241782e-09	3.633594995190251e-10	6.856083167999862e-22	0.0023074347210131395	6.856083167999862e-22	6.856083167999862e-22	9.436014845396657e-06	3.8387933998270655e-12	4.947940148357318e-07	5.147150190048865e-13	6.856098652663292e-22	1.3542343643320146e-15	2.2234097621155458e-14	6.856083167999862e-22	6.856083167999862e-22	6.856083167999862e-22	8.388207228023161e-06	0.5515092316094476	2.928158454805255e-06	4.507247809604548e-13	0.1454323152166275	4.03656028154624e-17	0.02465789018364075	1.8337158911365758e-20	3.5450751036689602e-15	7.874200280215093e-16	6.856083167999862e-22	6.856083167999862e-22	6.856083167999862e-22	0.12203382553647872	6.856083167999862e-22	0.00021070842317493502	6.856089787225075e-22	6.856083167999862e-22	1.3044714954880932e-20	1.031733499359362e-10	6.856083167999862e-22	6.856083167999862e-22	4.51048425244596e-07	0.0711174123278467	5.397352331655056e-06	6.859208888196317e-22	0.06409775945925092	2.6155214634422685e-05	9.141460685299734e-05	4.724387915048406e-08
b02	abl2	none	227	106	0	-0.47721413	-1.7826984000000001	1.4700058	0.6498377	-0.9450555	0.08362531	0.26400268	-0.61926293	0	0	1.3398703	-0.050079774	-0.95202315	0.23604731	-0.22356564	-1.1371046999999999	0.7140681999999999	0.542543	0.08761749	-0.98882926	-0.13215904	0.22023368508263502	1.9102781000000002	-0.75082886	0.3271942	0.8438385	0.8425551	2.0417428	0.023459652	1.0095003	1	1	1.3376290000000002	-0.093905725	0.469929	0.39493892	-1.3354451999999999	1.4748873	1.0848387	0.17349289999999998	1.0745997	1.3411131	-0.08078886	0.22023368	0.22023368	21	-0.00026739679742604494	-0.0020747652743011713	0.017734020948410034	-0.00527263805270195	0.016343886032700542	6.243240103469511e-07	9.96239862732728e-23	3.560585395974476e-08	0.0006612240295486888	7.23239569014435e-05	6.168304329802551e-13	4.89740556533701e-10	0.013739464273006504	9.96239862732728e-23	1.0002114289410859e-22	1.8971776278943e-10	3.3082447888264054e-05	6.904686526935945e-10	6.887247745868223e-08	1.131621586082646e-15	6.831662910472935e-11	4.8876839252186063e-11	9.96239862732728e-23	9.96239862732728e-23	9.962398632053684e-23	9.96239862732728e-23	0.956228549967866	4.998419005349351e-07	7.698828533250505e-07	4.210510486926844e-09	1.6359751514389198e-08	2.0116316820971303e-20	1.19375110712569e-22	0.002661089115325664	3.366569741473246e-13	9.96239862732728e-23	9.96239862732728e-23	1.7676866779629233e-17	4.2553721139671295e-12	9.96239862732728e-23	1.4094497935343569e-09	3.601559626136342e-07	1.3165712801699539e-07	5.692463013150208e-11	3.4526898899375626e-11	9.962884960662683e-23	7.454506669957027e-21	0.022356607089986782	0.0008240851081946768	0.002277688062144146	2.550492866925352e-05	0.0011163075758172758	2.0827115874700686e-13	7.472470987785932e-07	8.122936642072652e-07
a02	abl2	none	10	76	1	1.600841	-0.9897546999999999	0.81831694	-0.6605079	0.6112417	1.9748336	0.281303	1.3345493	0	3	0.05540399	0.34598579999999995	-1.2275558000000002	-0.17969942	1.2647876	-1.3232414	-0.44165668	-0.28673217	-0.112362616	1.6377565	0.39164606	-0.277069183984385	2.715531	0.49695393	0.30505797	0.31409407	2.1165266	1.787296	-0.28123426	1.6984962	1	1	0.11492754	0.30811074	1.9438504	0.11022742	-0.94888526	2.1130936	1.9781176999999999	-0.29304567	1.9726063000000003	0.11430578	0.30882305	-0.27706918	-0.27706918	21	-0.0037840211298316717	-0.017679253593087196	0.01925132051110268	0.005335764959454536	0.007843228988349438	1.1629781053014644e-22	8.604104503972736e-20	5.599530258517214e-18	0.06300537810891083	0.10230360756052864	1.1629780994103804e-22	1.4506374149496896e-05	1.1109491278310608e-05	1.1629780994103802e-22	2.571997632239227e-11	2.0316413083129835e-14	3.969362563082637e-13	2.6926303452712546e-11	2.655875230040614e-16	5.603841056433262e-10	1.1629780994776102e-22	1.1629780994103802e-22	1.1629780994103802e-22	1.1629780994103802e-22	1.1629780994103802e-22	1.1629780994103802e-22	0.7863102982719248	3.804057199770328e-18	1.6073718860463704e-11	1.1669551314608381e-11	1.1170555877442262e-09	1.1629780994103835e-22	1.1629780994103802e-22	0.018476533625732025	7.656766724120016e-15	1.1629780994103802e-22	1.1629780994103802e-22	6.632978709991584e-08	3.4101964098783816e-15	7.907622041639988e-17	2.5311321111900047e-20	1.268317138105088e-05	7.3951146487268215e-06	5.006747658780813e-07	5.217729367071955e-10	6.404190808818232e-19	3.4435233411356843e-09	0.012916746281248354	0.000813045986394965	0.0002657817044407978	0.015861899566862032	3.7243448279868654e-07	1.1632007513928333e-22	6.957990974833846e-08	1.1668044703126478e-22
a20	none	si00582757	175	102	0	-0.19908169	0.44863608	-0.24618746	0.0068994346	-0.074181765	-0.20001899	0.099257134	-0.20820408	0	0	0.8937081	-0.22565262	1.2045761000000001	0.23604731	0.66700786	-0.908091	1.2919306000000002	0.7135189000000001	0.004292446	-1.0072901	0.79734015	0.153926635873699	-0.3851945	0.019434791	1.18943	0.9177153	-0.48244378	-0.23552462	0.26465565	-0.59088814	1	1	0.8801247	-0.23123804	-0.009851835	-0.47530138	1.1717035	-0.510332	0.09582832	0.30778477	-0.46603054	0.8806278000000001	-0.23193360000000002	0.15392664	0.15392664	21	0.0022334563545882698	-0.0029331007972359657	-0.0037256060168147096	-0.005037063732743263	0.005864619743078947	0.00030076350254245503	4.323440066811552e-17	2.4981425118639168e-05	0.0004631946372984527	8.029844646531305e-12	0.0008487606294962707	1.6046532186617682e-13	3.83300343529444e-08	1.2902989103652978e-18	1.487020628047571e-21	0.0007228746057558668	0.0621376146784436	0.2511661218584672	0.0038304010064390327	1.1956451073649334e-08	0.018446954472731508	0.0011788817827061498	4.538483179206463e-24	4.538483179206463e-24	1.3002389046602962e-10	4.538483179206463e-24	0.40494491405851374	0.002295988795540391	0.00022635504477985511	0.0001572846548427199	5.970897888422421e-13	2.6585401680836083e-18	2.328861936008425e-09	3.115469862654248e-08	0.002897587524469666	9.571600641514717e-24	0.00014675644005958418	1.3277056946847147e-19	9.944118894646912e-09	4.538483179306681e-24	0.01385229539340418	4.123251980679167e-11	3.238116847370982e-08	3.2027623287675395e-05	0.043293941449467514	5.971069995089189e-09	1.6041436870349242e-19	3.050570003788892e-05	2.1057923993247127e-05	0.012577835860586351	9.906051482400472e-08	0.09219373336927153	0.07203197729355308	0.003986252899519658	0.01219070606271177
a04	none	si00577353	35	85	1	0.11874197	-1.5806412	0.68586504	0.23928003	-0.4495651	0.7675494	-1.2012893999999998	-0.06697782	0	1	-0.33941279999999996	0.35872729999999997	0.8578375	0.036488883	1.1522821	-0.71548086	0.7140681999999999	0.48460698	-0.22901767	-0.6330051999999999	1.207023	-0.127878323264279	2.7456028	0.101978734	0.672457	0.57116354	1.7726197	2.0949697	0.44311002	1.6010926	1	1	-0.353799	0.3524238	1.7450223000000002	-0.060160972	-1.0291496999999998	1.9951683999999998	2.0675529999999998	0.51838005	1.8801435000000002	-0.35409844	0.35342503	-0.12787832	-0.12787832	21	-0.003187433583661914	-0.006654360797256231	0.02276247926056385	0.004960514605045319	0.017530670389533043	1.5515569394392299e-22	1.5512877639036016e-22	5.302643300821521e-14	0.002216468137299609	0.06319638014488249	1.5512887162388678e-22	2.5097292317575987e-06	0.002236837337449432	1.5512877639036016e-22	3.4060623474817364e-14	3.882854630182624e-19	4.5098517822669455e-11	2.0202349570241797e-20	6.474700483320688e-19	5.504741132755553e-09	7.443170247073074e-16	1.551287763903635e-22	1.5512877639036016e-22	1.5512877639036016e-22	5.364903776781957e-22	1.5512877639036016e-22	0.7474061420859478	4.467620526684111e-11	8.540109072357542e-13	6.161627105359593e-14	0.00014291710751693063	1.5512877670915343e-22	1.5512877639036084e-22	0.17555760122840527	5.446864505762403e-19	1.5512877639036016e-22	1.5512877639036016e-22	0.00042523080758712144	7.435440414386468e-17	5.899204473514344e-16	1.0843840984769344e-20	3.9657085660192505e-06	4.751794815698957e-05	3.4953086055411165e-12	7.235970836674503e-14	1.5512877639036016e-22	1.263850683154346e-06	0.00033423879029333175	6.305283836007299e-08	2.620112984063309e-05	0.008396235023315482	6.422312372310517e-06	1.5512878369520015e-22	6.5244723033634364e-12	1.4565914652550364e-15
