well	gene	sirna	image_idx	object_idx	is_infected	cells_areashape_area	cells_areashape_eccentricity	cells_areashape_extent	cells_areashape_formfactor	cells_areashape_majoraxislength	cells_areashape_minoraxislength	cells_areashape_orientation	cells_areashape_perimeter	cells_children_bacteria_count	cells_children_invasomes_count	cells_location_center_x	cells_location_center_y	cells_neighbors_anglebetweenneighbors_2	cells_neighbors_firstclosestobjectnumber_2	cells_neighbors_firstclosestxvector_2	cells_neighbors_firstclosestyvector_2	cells_neighbors_numberofneighbors_2	cells_neighbors_percenttouching_2	cells_neighbors_secondclosestobjectnumber_2	cells_neighbors_secondclosestxvector_2	cells_neighbors_secondclosestyvector_2	cells_parent_nuclei	nuclei_areashape_area	nuclei_areashape_eccentricity	nuclei_areashape_extent	nuclei_areashape_formfactor	nuclei_areashape_majoraxislength	nuclei_areashape_minoraxislength	nuclei_areashape_orientation	nuclei_areashape_perimeter	nuclei_children_cells_count	nuclei_children_perinuclei_count	nuclei_location_center_x	nuclei_location_center_y	perinuclei_areashape_area	perinuclei_areashape_eccentricity	perinuclei_areashape_formfactor	perinuclei_areashape_majoraxislength	perinuclei_areashape_minoraxislength	perinuclei_areashape_orientation	perinuclei_areashape_perimeter	perinuclei_location_center_x	perinuclei_location_center_y	perinuclei_parent_expandednuclei	perinuclei_parent_nuclei	prediction	f_0	f_1	f_2	f_3	f_4
a06	none	si00577689	53	138	1	-1.3024973	-0.42174745	-0.52468246	-0.2098937	-1.5992737	-1.3337058000000002	-1.2332667	-1.2437736000000001	0	1	0.43252742	-0.21033783	-0.33827835	0.8846122	0.9483669	0.03235546	-0.44165668	0.24975313	0.77088284	-0.084493704	-0.797817	0.7506900787541229	-1.3541713	-0.31629026	0.9643521	0.756885	-1.5342273000000002	-1.146766	-0.15152559	-1.4387152	1	1	0.41397849999999997	-0.24075164	-1.6696342	-2.256757	0.9262886	-2.1559307999999997	-0.87335455	-0.52457374	-1.7977352999999998	0.42378828	-0.23352787	0.7506901	0.7506901	7	0.0014879399677738547	0.006400177255272864	-0.016187384724617004	-0.007786105852574109	0.005721248220652342
a10	none	si00580125	83	97	0	-0.8923546999999998	-0.31143048	0.3183475	-0.41423488	-1.0681417	-0.71283185	-0.22545518	-0.68114775	0	0	0.7754375	0.68394417	0.55180955	0.05311875	0.21027331	-0.9555249	0.13620575	0.30089879999999997	-0.112362616	-0.83444726	0.56358075	0.071042824362529	-1.8052467	-2.0055122	-0.43652743	0.07201784	-2.295185	-1.3863627	1.1162118	-1.8118514	1	1	0.82307416	0.6407834	-2.4174008	0.20928895	0.48343733	-2.5591187	-2.1941794999999997	-0.5378989000000001	-2.4714215	0.81570864	0.6579524999999999	0.07104282	0.07104282	7	-0.0063283639028668395	0.009117191657423971	-0.016728177666664124	-0.00570544321089983	-0.001472987700253725
a04	none	si00577353	35	166	0	-1.1490246000000002	-1.8739243000000003	-0.44375846	1.2677187	-1.5519261	-0.8370093000000001	-0.42426747	-1.3247718000000002	0	0	0.7312192	0.30520988	0.6304459	1.3668784	1.0063831	0.26500028	-0.44165668	0.7135189000000001	1.0208579	-0.56920195	-0.8192714	1.21483942321668	-1.6949838	0.06736160000000001	1.1643721000000002	0.115678705	-1.7899395	-1.6903453999999998	-0.26688692	-1.6821615	1	1	0.73267186	0.28651184	-1.0342488	-0.6666848000000001	2.6469839	-1.9306067	-1.1696018	-0.25380382	-1.6995668000000002	0.7337932	0.28517023	1.2148395	1.2148395	7	-0.0034885555505752568	0.008555516600608827	-0.013753586448729038	-0.011922642588615416	0.007890134118497372
b12	none	si00589022	318	86	0	-0.94968647	1.0630126	-1.0750552	-0.7942654	-0.45970583	-1.3441098	-1.1935874	-0.6041805	0	0	1.2815411	-0.18714876	0.77347714	-0.24621889	-0.80552965	0.22931363	-0.44165668	0.34481877	-0.02903757	0.7986905	0.26466468	-0.111301560962045	-0.97660446	-1.5445427	1.0877736	1.2778306000000001	-1.4267796	-0.35721132	-1.3949716	-1.1869669	1	1	1.2881076	-0.15212123	-1.3022345	0.4642443	0.48838115	-1.0141677	-1.0625242	-1.4614457	-1.3108773999999999	1.2981908000000002	-0.15475382	-0.11130156	-0.11130156	7	0.0015375120565295222	0.0013884357176721096	-0.01280462183058262	-0.005787794478237629	-0.0023728949017822747
b15	none	si00520933	345	136	0	-1.1431444	0.022632476000000002	0.03854482	-1.0050200999999999	-1.241894	-1.106411	1.4727582000000001	-0.77176917	0	0	1.3529187	-0.804185	1.1366603000000002	0.8014628	0.89154273	0.13345227	0.7140681999999999	-0.43075737	0.57090276	-0.8949710999999999	-0.45914733	0.7175365541496551	-1.5914035	0.55936384	0.13679825	0.8349018	-1.4882348	-1.7808808999999997	1.2730485	-1.7123092	1	1	1.3672605	-0.8036776999999999	-1.1379852	0.022065165	2.294782	-1.6665668000000002	-1.2969245	1.2380036	-1.6950389	1.3675164	-0.80432934	0.71753657	0.71753657	7	0.007411261089146137	0.0032190009951591487	-0.014899972826242447	-0.012058700434863569	-0.0033479405101388693
a05	none	si00408485	39	173	1	-0.72418165	0.59162784	0.30650222	0.70506144	-0.49412367	-0.7697223000000001	-1.6399741	-0.83099437	0	3	1.4881178	-0.8669985999999998	1.0044627	1.416768	0.9391148000000001	2.728593	-2.1752439	-3.6083894	1.137513	-1.7199621999999999	-1.8555666000000002	1.33087675933231	-0.9732632	-0.0025752094	1.3763896999999998	1.0365143	-1.0363016	-0.8192756	1.6177627	-1.1290615	1	1	1.4856695	-0.87068254	-0.5285338	-0.6108534000000001	1.7155169	-1.1289784999999999	-0.41768685	1.5846508999999998	-1.0430877	1.4874419	-0.87161547	1.3308767	1.3308767	7	0.007970371283590794	-0.004881056025624275	-0.015492419712245463	-0.014095268212258816	-0.0007439265609718858
a15	none	si00370398	133	138	0	-0.6486213000000001	0.8904584999999999	0.6580664	-0.31338632	-0.23104511	-0.9105721999999999	1.4866087	-0.4701339	0	0	1.6154716999999998	0.16085944	-1.4668986000000002	0.63516414	-0.76898986	-1.0641713	0.13620575	0.58643335	0.5542376999999999	-1.1222502	-0.099106625	0.7506900787541229	-0.68257016	0.031248165	0.10235786	0.17897007	-0.66836196	-0.44864124	-0.4531866	-0.6373468000000001	1	1	1.6119878	0.16142726	-0.24758110000000003	-0.738172	1.1422215	-0.87937576	-0.102673285	-0.58867055	-0.6375535	1.6127015	0.16249228	0.7506901	0.7506901	7	-0.002362063387408853	-0.0018903771415352821	-0.004585608374327421	-0.011427663266658785	0.0012578984024003148
a01	ptk2	none	6	167	0	-0.8914726999999999	-1.8381154999999998	-1.06877	-0.4729325	-0.9719312	0.059695017	-0.5124366	-0.65973663	0	0	1.4883162	-0.68986464	-0.28576392	1.2504693	-0.11338432	-1.0001158	0.7140681999999999	0.7135189000000001	1.4208181999999998	0.8644253000000001	0.057347413	1.2314161855189099	-1.8787552	0.5539629	-0.8350636999999999	-0.20879401	-1.8158455000000002	-2.089899	0.30871344	-1.8482468999999997	1	1	1.4310426	-0.70259887	-1.3497803	-0.04394472	2.3934738999999996	-2.0647151000000004	-1.6149446	0.24787463	-1.8976245999999999	1.4327317	-0.70194876	1.2314162	1.2314162	7	0.005847029387950897	0.0028697524685412645	-0.014724492095410826	-0.01570124924182892	-0.0036347308196127415
a13	znf729	si00575589	117	137	0	-1.2730963	-0.26391825	-0.51259196	0.46666023	-1.5479167	-1.3318923	1.4676341999999998	-1.3384767	0	0	1.5021674999999999	0.49739632	0.6044968000000001	0.6684239000000001	-1.1344796	-0.39283368	-0.44165668	0.63770336	0.77088284	0.49441916	0.8862673000000001	0.7341133164518889	-1.3641952	-0.10609234	0.89555377	1.0735632	-1.484893	-1.233894	-1.4052418	-1.5167471000000001	1	1	1.4939438999999999	0.50294644	-1.1206958	-0.42666468	1.6432499	-1.5889766	-0.96118766	-1.5655932	-1.5044525	1.4964693	0.50378615	0.73411334	0.73411334	7	-0.004713832866400479	0.006443958729505539	-0.012197623960673807	-0.01228970568627119	0.003614528337493539
a04	none	si00577353	36	152	1	-1.3862896999999998	0.596429	0.30229893	-0.32093683	-1.5177301	-1.7441906000000003	-0.08848061	-1.3454084	0	1	1.0757008	0.3730443	1.1797353000000002	1.1340603	0.59626716	-0.52313405	-0.44165668	-0.33947608	0.90420294	-0.43650213	0.6916576999999999	0.9827647509853991	-1.6448643	-0.84529614	0.03695959	0.8446833	-1.9415648999999997	-1.3418256000000002	0.36854008	-1.7750788	1	1	1.06916	0.36856490000000003	-1.1509521999999999	-1.3274529	2.4488075	-2.0337725	-1.0066482	0.40167913	-1.7448474999999999	1.0702252	0.3668478	0.9827648000000001	0.9827648000000001	7	-0.0034757577814161773	0.005255102179944515	-0.01801142655313015	-0.012196017429232596	0.0035641621798276897
