well	gene	sirna	image_idx	object_idx	is_infected	cells_areashape_area	cells_areashape_eccentricity	cells_areashape_extent	cells_areashape_formfactor	cells_areashape_majoraxislength	cells_areashape_minoraxislength	cells_areashape_orientation	cells_areashape_perimeter	cells_children_bacteria_count	cells_children_invasomes_count	cells_location_center_x	cells_location_center_y	cells_neighbors_anglebetweenneighbors_2	cells_neighbors_firstclosestobjectnumber_2	cells_neighbors_firstclosestxvector_2	cells_neighbors_firstclosestyvector_2	cells_neighbors_numberofneighbors_2	cells_neighbors_percenttouching_2	cells_neighbors_secondclosestobjectnumber_2	cells_neighbors_secondclosestxvector_2	cells_neighbors_secondclosestyvector_2	cells_parent_nuclei	nuclei_areashape_area	nuclei_areashape_eccentricity	nuclei_areashape_extent	nuclei_areashape_formfactor	nuclei_areashape_majoraxislength	nuclei_areashape_minoraxislength	nuclei_areashape_orientation	nuclei_areashape_perimeter	nuclei_children_cells_count	nuclei_children_perinuclei_count	nuclei_location_center_x	nuclei_location_center_y	perinuclei_areashape_area	perinuclei_areashape_eccentricity	perinuclei_areashape_formfactor	perinuclei_areashape_majoraxislength	perinuclei_areashape_minoraxislength	perinuclei_areashape_orientation	perinuclei_areashape_perimeter	perinuclei_location_center_x	perinuclei_location_center_y	perinuclei_parent_expandednuclei	perinuclei_parent_nuclei	prediction	f_0	f_1	f_2	f_3	f_4
a10	none	si00580125	87	1	0	-0.97467726	1.3427200000000001	1.3643669	0.12550697	-0.13990211	-1.6924849999999998	-1.6451166000000002	-0.9273795	0	0	-1.6964852	-1.3137243	-0.5216482	-1.3105305	0.77856	-0.0756466	-0.44165668	0.7135189000000001	-1.5122233999999999	0.09876805	1.0743923	-1.52032635665194	-1.1737411	1.4928668999999999	0.53762645	-1.7219567	0.102529235	-1.9243488000000002	-1.5878142	-0.47956374	1	1	-1.7094578999999999	-1.2665	-1.6134437	1.8668898	-1.4474360000000002	-0.015984757	-2.269517	-1.6392883000000003	-0.8675345999999999	-1.698814	-1.267315	-1.5203263999999999	-1.5203263999999999	74	0.012837807647883892	0.02029388956725597	0.008703455328941345	0.013830346055328846	-0.013723738491535187
a06	none	si00577689	50	11	1	-0.22348443	-1.0172782	-0.6180736	-0.6642587	-0.45165887	0.4915561	-0.5963210999999999	0.06652308	0	2	-1.5239724	-1.0253558	0.8996069999999999	-1.4103097	-0.8569776	0.63754165	-1.0195191	-0.12887716	-1.2955782	0.5780519000000001	-1.2801152	-1.3545587336296	-1.0400890999999999	1.5658377	-0.582155	-1.5792108	0.39835045	-1.9322373	1.5670482	-0.38245383	1	1	-1.5586833	-0.97404075	-1.1466299	1.5193485	-1.6744245	-0.13923499	-1.6853620999999999	-1.6891392	-0.24619299	-1.5509294	-0.98316723	-1.3545587	-1.3545587	74	0.008925904519855976	0.009359768591821194	0.006299149245023727	0.013707894831895828	-0.014625687152147291
a01	ptk2	none	5	10	0	-0.73741204	1.3862164	-2.2777133	-0.9006083	0.40518109999999996	-1.5441753999999999	1.110441	-0.31167334	0	0	-1.3902739	-0.9593874	0.27387613	-1.3604201	0.79551804	0.04947267	0.13620575	0.70249915	-1.4122332	-0.34512600000000004	-0.5828051	-1.37113549593183	-0.83961123	0.58864677	-0.6438257	-0.64041126	-0.57777447	-0.94425	1.0829355	-0.5253095999999999	1	1	-1.3806866000000002	-0.9440939	-0.9218677	1.117594	-0.56124955	-0.3814362	-1.2619858	1.1680822	-0.5550974	-1.39113	-0.9522938	-1.3711355	-1.3711355	74	0.008966447785496712	0.007554855663329363	0.0002885857538785785	0.012589719146490095	-0.014036990702152252
a05	none	si00408485	40	33	1	-0.46545377	1.138099	0.8578082	0.098935194	0.32929572	-0.9366505999999999	-0.060145374	-0.45081750000000004	0	1	-0.87445015	-1.6687691999999998	-1.2207999	-1.0278227	-0.029098772000000002	1.8125471000000002	-1.0195191	0.32983643	-1.1789231000000002	-1.278837	0.72460437	-0.9898699629804469	-1.7116903	1.305293	-0.08290104	-1.0490611	-0.98861116	-2.2799857000000006	0.21507007	-1.4058002	1	1	-0.8989955	-1.7055331000000002	-2.0716128	1.7608445	-0.8210834	-1.0277511000000001	-2.5973398999999997	0.124742255	-1.6546938000000002	-0.89993167	-1.6927058999999998	-0.98986995	-0.98986995	74	0.01746903732419014	0.014909941703081131	-0.002504450734704733	0.007326299324631691	-0.016910674050450325
a04	none	si00577353	33	39	0	-1.1152135	0.71251374	0.8575777	0.74501246	-0.9631648000000002	-1.3250415	0.29199976	-1.2060866000000001	0	0	-0.99231803	-1.6753188	-0.8809701999999999	-0.8282643	0.0705241	1.0357497	-0.44165668	0.7135189000000001	-1.0122731	-1.0180105	0.36301009999999995	-0.8904093891670429	-1.6983252	1.7109714	1.3001078000000001	-1.8871436999999998	-0.28760478	-2.7156203	-0.018851897	-1.1093124	1	1	-0.9894423000000001	-1.7094806	-2.0500011000000002	2.028223	-1.5604678	-0.5646005999999999	-2.888141	-0.014280178999999999	-1.3303934	-0.9895389000000001	-1.6959008999999998	-0.8904094000000001	-0.8904094000000001	74	0.016981741413474083	0.02262779884040356	0.005242044106125832	0.006513908505439757	-0.014287683181464672
a04	none	si00577353	34	11	0	-0.94762844	0.9192271000000001	-0.97083974	-0.20167834	-0.5577778	-1.2130851999999999	-1.2659403999999999	-0.8090435	0	0	-1.3956568	-1.1693223999999998	0.8970816999999999	-1.3770499	-0.45170770000000005	-1.2298082000000001	-1.5973815	-0.50931394	-1.2122532	1.0111842	0.8952578000000001	-1.3545587336296	-1.2806627	0.90426224	0.10117064	-1.260934	-0.75392336	-1.5039548999999999	0.023312267	-0.7885469	1	1	-1.4117423999999998	-1.2509996	-1.8554953	1.6266102	-1.7698581999999998	-0.72640276	-2.2095227000000004	0.13499099	-0.99672025	-1.4107875	-1.2348382	-1.3545587	-1.3545587	74	0.011629775166511536	0.014967874623835087	0.00045641773613169784	0.01207377389073372	-0.016852051019668583
a06	none	si00577689	47	53	1	-0.94116026	1.2517658	-1.3335588	-0.24046206	-0.19994436	-1.5161679	0.73249364	-0.790343	0	1	-1.005183	-1.1157363999999999	0.28523245	-0.64533573	0.9064620999999999	0.26437262	0.7140681999999999	0.7009833000000001	-0.77896297	-0.2720676	-0.8111441999999999	-0.6583347169357671	-1.4677755	0.28804025	-1.555269	-1.3818462	-1.3332698	-1.3821661	1.2532316000000001	-0.9768549999999999	1	1	-0.9390398000000001	-1.1598473999999999	-2.2531514	1.2542539	-0.668496	-1.7851801999999999	-2.3915286	1.0035503000000001	-1.9262418999999997	-0.9514753	-1.1763636999999998	-0.65833473	-0.65833473	74	0.010829783044755459	0.014980020932853222	-0.002783370669931173	0.005482889711856842	-0.014713457785546781
a11	loc388499	si00515081	92	57	0	-0.6403890999999999	1.4302615	-0.21281494	-0.8098207	1.0078386000000001	-1.4301058	-0.08009018	-0.2524799	0	0	-0.9873429	-1.6834206999999999	-0.39075834	-0.6785955	-0.34200254	0.7810756	-1.0195191	0.7135189000000001	-0.29567772	1.2525705	0.41012543	-0.592027667726831	-1.1236217	1.4938063999999998	0.58409816	-1.2987874	0.129952	-1.9094175	-0.14362866	-0.59088814	1	1	-0.9562269	-1.7025816000000003	-1.6307331	1.8992127	-1.6909248	0.10479057	-2.2803524	-0.09215888	-0.77054274	-0.9557853999999999	-1.6877952	-0.59202766	-0.59202766	74	0.016759550198912617	0.011180971749126913	0.005471130833029747	0.005928424187004565	-0.02003925479948521
b06	none	si00587377	263	3	0	-0.49603072	1.4241761	0.1120421	-0.9797789000000001	1.1520946	-1.3407388	-1.658043	-0.014925866999999999	0	0	-1.692651	-0.45357484	-0.18798718	-1.4435694	0.8204802999999999	-0.749781	-1.5973815	-0.30882376	-1.3789033000000002	1.1209255	2.1468293999999997	-1.48717283204747	-1.8887792	1.8346999	0.44395962	-2.4847891	-0.2394268	-3.0801306	-1.6505721000000002	-1.1731298000000001	1	1	-1.7162193	-0.613391	-2.0802574000000003	2.151814	-1.4878508	-0.5727218000000001	-3.194185	-1.6741803	-1.3993108	-1.7063327000000001	-0.61476266	-1.4871728000000002	-1.4871728000000002	74	0.0063714892603456965	0.01474100071936846	-0.0002003255794988945	0.01412828825414181	-0.028231212869286537
a13	znf729	si00575589	110	64	0	-1.2078263999999999	0.836734	-0.7667818000000001	-0.77496475	-1.1079992	-1.5693685	-1.1873212	-0.95110124	0	0	-0.97098017	-0.7012721	0.2847405	-0.3958877	0.6046511999999999	-0.37074429999999997	-1.0195191	-0.051927507000000005	-0.4956577999999999	-0.062036400000000005	0.9886004	-0.475990331611193	-0.8563177	1.3848107	-2.0299475	-0.6239066999999999	0.22824825	-1.5894455	-0.66605175	-0.54782623	1	1	-0.96354103	-0.6844574999999999	-0.52421147	1.1834472	0.1654235	-0.14176217	-1.1817102	-0.80282706	-0.50003594	-0.96797836	-0.6844789000000001	-0.47599033	-0.47599033	74	0.006682491861283779	0.01076852809637785	0.004149180836975575	0.005501690320670605	-0.013898519799113274
