well	gene	sirna	image_idx	object_idx	is_infected	cells_areashape_area	cells_areashape_eccentricity	cells_areashape_extent	cells_areashape_formfactor	cells_areashape_majoraxislength	cells_areashape_minoraxislength	cells_areashape_orientation	cells_areashape_perimeter	cells_children_bacteria_count	cells_children_invasomes_count	cells_location_center_x	cells_location_center_y	cells_neighbors_anglebetweenneighbors_2	cells_neighbors_firstclosestobjectnumber_2	cells_neighbors_firstclosestxvector_2	cells_neighbors_firstclosestyvector_2	cells_neighbors_numberofneighbors_2	cells_neighbors_percenttouching_2	cells_neighbors_secondclosestobjectnumber_2	cells_neighbors_secondclosestxvector_2	cells_neighbors_secondclosestyvector_2	cells_parent_nuclei	nuclei_areashape_area	nuclei_areashape_eccentricity	nuclei_areashape_extent	nuclei_areashape_formfactor	nuclei_areashape_majoraxislength	nuclei_areashape_minoraxislength	nuclei_areashape_orientation	nuclei_areashape_perimeter	nuclei_children_cells_count	nuclei_children_perinuclei_count	nuclei_location_center_x	nuclei_location_center_y	perinuclei_areashape_area	perinuclei_areashape_eccentricity	perinuclei_areashape_formfactor	perinuclei_areashape_majoraxislength	perinuclei_areashape_minoraxislength	perinuclei_areashape_orientation	perinuclei_areashape_perimeter	perinuclei_location_center_x	perinuclei_location_center_y	perinuclei_parent_expandednuclei	perinuclei_parent_nuclei	prediction	f_0	f_1	f_2	f_3	f_4
a10	none	si00580125	88	44	0	-0.57570714	0.69220036	-0.9265641	-1.022968	-0.29780915	-0.7032841	-0.8573636	-0.07238629	0	0	-0.8984785	1.3924929	0.3110947	-0.8448941999999999	-0.3934424	0.9953438	-0.44165668	-0.32992843	-0.7123029000000001	1.2409673	-0.32504377	-0.8075255776558729	-0.5823311999999999	-1.0253610999999998	-1.4623313999999998	-2.3481069	-0.7122951	0.30686498	-1.5377268999999998	0.5233207999999999	1	1	-0.89763945	1.4212268999999997	-0.1524894	-0.19271725	0.13765270000000002	-0.7758896	-0.3449213	-0.9305754999999999	-0.1794942	-0.8997214	1.4048377	-0.8075256	-0.8075256	34	-0.01327299140393734	0.0012734496267512439	0.0005463439738377929	0.008990800939500332	-0.0051500615663826466
a06	none	si00577689	49	34	1	-0.5036748999999999	0.36197358	-0.6665810000000001	-1.155507	-0.21662201	-0.25065354	0.08061155	0.08432865	0	1	-1.3143364	1.5219444	-0.27334964	-1.0610825000000002	-0.7410295	0.7436373000000001	0.7140681999999999	-0.09475030000000001	-1.1122631	-0.60170734	-0.8839732	-0.9732932006782129	-0.027675502	0.5289196999999999	0.6814378000000001	0.21905662	0.13388932	-0.18655498	-0.058776714	-0.09187811	1	1	-1.3399136999999999	1.5385619	-0.27783754	0.8644412	-0.38960359	0.36188453	-0.39368588	-0.2759626	-0.054112107	-1.3359914	1.5329685	-0.9732931999999999	-0.9732931999999999	34	-0.014826389029622078	0.0013986796839162707	0.00290740211494267	0.011961057782173157	-0.0038842861540615563
a06	none	si00577689	46	11	1	0.41098684	0.39176068	-0.58929354	0.54762393	0.34245783	0.2924684	-0.5900393	0.008319938	0	1	-1.5357201999999999	1.3923231000000003	-1.2762662	-1.4601993999999998	-1.3522059	0.46802315	0.7140681999999999	0.6789314999999999	-1.3789033000000002	-0.27299356	1.1398103000000002	-1.3545587336296	0.50359106	0.6891565	0.98920965	0.3169488	0.7422057	0.14813672	0.0052447943	0.28020978	1	1	-1.5606838	1.4022367	0.7249477	0.17272379999999998	0.18516804	0.56789327	0.5545441	0.03783775	0.47879618	-1.5623658	1.4056917	-1.3545587	-1.3545587	34	-0.01249126810580492	-0.0008794411551207304	0.00736560160294175	0.01550169475376606	0.0041480110958218575
a02	abl2	none	17	19	1	-0.5665929	0.41108128	0.29804474	-1.3641318999999998	-0.40645516	-0.49633035	-0.2707682	0.15939143	0	2	-1.1384401000000002	1.2720133	0.31220138	-1.3105305	-0.9194606	1.0520192	0.7140681999999999	-0.28933364	-1.0622681	1.3715447	0.12377589	-1.22194463521172	-0.5288704000000001	0.9608876000000001	-0.71515083	-0.8433746999999999	0.094581045	-0.8707785	-0.27786827	-0.14630325	1	1	-1.1519886000000001	1.2654331	0.18465392	0.5342398	0.62424225	-0.14213452	-0.41140416	-0.34821025	-0.112841025	-1.1539614	1.2693149	-1.2219447	-1.2219447	34	-0.011582761071622372	0.002886719303205609	0.002689728979021311	0.011907050386071205	-0.0060787671245634564
b05	none	si00584073	260	15	0	-0.5854094	1.0881048	-0.021003132999999997	-0.6042460999999999	0.035985745	-1.0359116	-1.5897645	-0.29252842	0	0	-1.464432	1.2019062	0.7156955	-1.3604201	-0.9258934000000001	-0.117250755	0.7140681999999999	0.05539718	-1.2122532	0.70849735	-0.40626666	-1.2882516844206597	0.7241168	0.027507177	0.83299893	0.8018371999999999	0.41646809999999995	0.73260176	-1.6095270000000002	0.26947582	1	1	-1.4587357	1.1821386	0.16304217	0.3693316	-0.55290353	0.70472574	0.46674815	-1.5761544	0.39231059999999995	-1.4558386	1.1833962	-1.2882516000000002	-1.2882516000000002	34	-0.011835131794214249	0.0020940979011356826	0.007087542675435544	0.01451356429606676	0.0031184356193989515
a12	none	si00580517	105	33	0	-0.47250998	-0.8762303	0.5550568	0.76422954	-0.8079427	-0.07972473	-0.9213764999999999	-0.64450836	0	0	-0.7681533	0.16734721	1.3829011	-1.0278227	-0.34413716	1.1969309	-1.0195191	0.5606648	-0.97894305	0.17870548	-1.2702719	-0.9898699629804469	-0.4653857	-0.3281582	-2.598286	-2.5961266	-0.33519840000000006	0.24890229999999997	-1.5061116	0.8114646	1	1	-0.7785588999999999	0.24653415	-1.271978	0.17224585	-2.7331442999999997	-1.1313476999999998	-0.9279048000000001	-0.96627694	0.25257444	-0.7687853	0.22130005	-0.98986995	-0.98986995	34	-0.002355883363634348	0.012818701565265656	0.013980823568999769	0.008930627256631851	-0.0017306155059486628
a04	none	si00577353	35	38	1	0.24222572	-0.07265135	0.57206756	1.0000917	-0.004201361	0.40927407	-1.325484	-0.23333497	0	1	-1.1390926000000001	0.98646915	0.9240741	-0.8282643	1.1085521999999999	-0.6319017	0.13620575	0.7135189000000001	-1.0789331	-1.066116	0.037478502999999996	-0.906986151469277	0.05585698	0.11666734	-0.6658702	-0.57079595	-0.014310493	0.16793315	1.0134587	0.26742107	1	1	-1.1583972	0.9886309999999999	0.543409	-0.22302032	-0.016169356	0.022190044	0.41483918	1.0582724	0.43541762	-1.1582625	0.988894	-0.9069862	-0.9069862	34	-0.009673407301306723	0.002949540968984365	0.00910409353673458	0.010912513360381126	0.0071065775118768215
a03	msl1	si00498785	23	17	0	-0.64538723	0.8513301999999999	-0.7667611	0.23301858	-0.3368163	-0.9425333	1.0564593	-0.64360696	0	0	-1.2635285	1.1746416000000002	-1.1792667	-1.2273811000000001	0.25027588	1.0895654	-1.0195191	-0.25674072	-1.1122631	1.0680876	0.29802433	-1.25509815981619	-0.4720683	0.59889144	-0.6242888000000001	0.57713807	-0.22725074	-0.62481374	0.9356128	-0.5682881	1	1	-1.2719709	1.1534828000000001	-0.18274584	0.39874935	0.72830045	-0.23422122	-0.3529884	0.93464816	-0.4375035	-1.2737428999999998	1.1554456	-1.2550981	-1.2550981	34	-0.010420980863273144	0.005372947547584772	-0.001182248815894127	0.012547820806503296	-0.003683892311528325
b10	rpl26	si00588413	303	61	0	-0.43046670000000004	0.5814123000000001	1.2695706	0.49236363	-0.27612266	-0.55099523	1.7059123999999999	-0.5412485	0	0	-0.03844236	1.4124506000000001	-0.08126197	-0.44577733	0.8785392	-0.41264617	-0.44165668	0.7135189000000001	-0.54565287	0.11575279	1.1354328000000002	-0.5257206185178951	-0.5923550999999999	0.21868119	0.14329262	0.3182397	-0.546403	-0.50217384	1.0718147	-0.5974714	1	1	-0.019291146000000002	1.4226235	-0.36428455	-0.28725415	0.71980387	-0.7315986999999999	-0.23881063	1.2634043	-0.57914174	-0.023478267999999997	1.427764	-0.5257206	-0.5257206	34	-0.012876925989985466	0.005084216129034758	-0.00038947307621128857	0.00299827684648335	0.004454612731933594
a04	none	si00577353	35	25	1	-0.7626968000000001	0.83843994	1.71955	0.31681803	-0.47904719999999995	-1.0442573	0.04081457	-0.7704108000000001	0	1	-1.2614976999999998	1.6500933999999998	-0.78731954	-1.0943421999999998	-0.28062585	-1.1604339	-1.0195191	0.38388577	-1.2622482	-1.2866421000000001	0.046530668	-1.12248406139832	-0.28161424	0.9597234	0.61984706	0.24811727	0.2402603	-0.7467793	0.40798992	-0.30895009999999995	1	1	-1.3293071	1.6664238999999998	-1.6220883999999998	-0.1614757	-1.8362131999999998	-1.0672442	-0.6342721	0.20726809	-0.6877701999999999	-1.3108454999999999	1.6513581000000002	-1.1224841	-1.1224841	34	-0.016165252774953842	0.012936330400407314	0.004784564021974802	0.011779511347413065	-0.0003899044822901488
a01	ptk2	none	7	21	0	-1.0428872999999999	-0.052855436	0.97321934	0.37210113	-1.227914	-1.0478246	1.0983553	-1.0565702	0	0	-1.4530447	1.6183732	0.8951142	-1.127602	1.085033	-0.13006869999999998	-0.44165668	-0.40249324	-1.3289082	-0.84273505	-0.34464583	-1.18879111060726	0.19953285	0.21985675	-0.22183721	0.7795476	0.11216784	0.18314713	0.959139	-0.097035244	1	1	-1.444519	1.6248957	-0.096298836	0.14425203	-0.048070863	0.13836288	0.20612929999999996	1.1076270000000001	-0.054429244	-1.4489893	1.6274110000000002	-1.1887912	-1.1887912	34	-0.015645267441868782	0.00925243366509676	0.006003027781844139	0.013458510860800743	0.007014633156359196
a02	abl2	none	15	59	1	-0.26288164	-1.0946412	0.9011393	1.1451216	-0.5907284	0.33348247	1.1436479	-0.5868829000000001	0	2	-0.93371546	1.5984163	0.39223695	-0.71185523	-1.0091155	-1.048922	0.13620575	0.7135189000000001	-0.41233277	1.3386371000000001	-0.10613399	-0.5588741431223629	0.029126585	0.37468955	-0.8283083000000001	-1.8222331000000003	0.1552599	0.037194587	-1.2976601	0.8433735000000001	1	1	-0.9075536	1.6394422999999998	0.3661926	-0.10549888	-0.0072910935	-0.087986946	0.21975788	-1.1452267	0.29531944	-0.90960723	1.6246139	-0.55887413	-0.55887413	34	-0.01613548770546913	0.006360864732414484	0.012973490171134472	0.007901400327682495	0.0072120698168873796
a21	bmp8a	si00395122	185	18	0	-1.0540596000000002	-0.23650435	0.040902738	0.04587795	-1.2684506000000002	-0.99997723	-1.0831215	-0.9931491	0	0	-1.1633241	1.5762993	-0.020954478999999998	-1.2606409	-0.6095722	-0.77661324	-1.5973815	-1.5767453000000002	-1.1955882	1.0502815	-0.31652755	-1.23852139751396	-0.50882256	0.7189207	-1.0630431999999999	-0.9773561	-0.06380059	-0.6363797	-1.4433315	-0.07384815	1	1	-1.1884036	1.5846251	0.31000206	0.39043048	0.60282356	-0.1398934	-0.26579747	-1.3228399	-0.009510601	-1.1912668	1.584834	-1.2385215	-1.2385215	34	-0.0160569716244936	0.00711723929271102	0.0025369750801473856	0.012556162662804128	-0.004016851540654898
b12	none	si00589022	321	10	0	0.73733675	-2.2478363999999997	-0.19111346	-0.007144654	-0.05433596	1.6643392	0.5256066999999999	0.42904022	0	0	-1.6184622	1.4408228	-1.0367165	-1.3271604	0.65591633	1.2646514	-1.0195191	0.7135189000000001	-1.0789331	1.7862792	-0.16583112	-1.37113549593183	0.45013028	0.6315187	1.8724988999999999	0.26413924	0.6001635999999999	0.10802014	-0.030851999999999997	0.25974792	1	1	-1.6340004	1.5328747999999999	-0.1611341	0.82354575	-0.83315176	0.70866424	-0.07640246	0.2118039	0.25895864	-1.6402318	1.5235056	-1.3711355	-1.3711355	34	-0.01380114909261465	-0.00027355377096682787	0.006551551166921854	0.016584858298301697	0.004898414481431246
a01	ptk2	none	6	77	1	-0.7753392	-0.7003296999999999	0.5526791	1.5579934	-1.0749763	-0.52802557	-0.7654854999999999	-1.0376093000000002	0	1	-0.37116283	0.69580096	-1.7635701000000001	-0.37925783	-0.660088	0.8474228000000001	0.13620575	0.7135189000000001	-0.24568269	-0.029627629	1.0258261999999998	-0.260492421682151	-0.50882256	0.12016091	-0.8357203999999999	-0.12673055	-0.49942935	-0.35271959999999997	1.4936832	-0.38450825	1	1	-0.38712594	0.7305520999999999	-1.1077287	-0.25389520000000004	-0.52272236	-1.0157642	-0.5257081	-1.2604036	-0.7487176999999999	-0.37884829999999997	0.7169599	-0.2604924	-0.2604924	34	-0.005971316248178482	0.011134601198136806	0.0037982000503689046	0.002520500682294369	0.005646597594022751
a23	ptk2	none	203	11	0	-0.571591	0.38981727	0.8421434000000001	-0.11560947	-0.47091120000000003	-0.54144216	-1.3578223999999999	-0.46979740000000003	0	0	-1.5682161000000001	0.47475886	0.3109442	-1.4768291999999998	-0.96390563	-0.20179915	0.13620575	0.5418348000000001	-1.2622482	0.8422441999999999	-0.7780260999999999	-1.3545587336296	-0.10786668	0.330495	0.4430183	0.7043273	-0.06353651	-0.12935841	-0.8893943000000001	-0.30857292	1	1	-1.5556488000000002	0.4808215	0.102529265	0.11805878	0.57744414	-0.02497238	0.086362846	-0.87865305	-0.15703489	-1.5563313	0.48117829999999995	-1.3545587	-1.3545587	34	-0.0053203427232801906	0.006063066888600589	0.0021979734301567078	0.014467443339526653	0.005275717936456204
